date,currency,open,max,min,close,volume
2020-10-12,PLN,65.0,72.1,60.0,70.0,3999406.15
2020-10-13,PLN,72.0,80.0,71.08,80.0,1404031.82
2020-10-14,PLN,84.0,90.3,71.25,75.96,1366212.76
2020-10-15,PLN,76.0,80.0,71.52,79.22,485991.68
2020-10-16,PLN,80.0,85.44,79.25,81.45,1275075.59
2020-10-19,PLN,81.45,83.62,79.8,83.4,265814.58
2020-10-20,PLN,83.45,85.6,83.33,85.0,258817.51
2020-10-21,PLN,85.99,85.99,82.12,84.17,231271.57
2020-10-22,PLN,83.84,89.0,83.72,85.37,443246.85
2020-10-23,PLN,86.37,89.0,85.43,89.0,2737140.48
2020-10-26,PLN,89.0,92.86,85.5,91.7,247727.7
2020-10-27,PLN,91.6,98.78,90.4,94.64,376643.91
2020-10-28,PLN,94.64,96.55,82.1,87.67,372186.24
2020-10-29,PLN,88.0,90.37,84.63,85.94,160499.25
2020-10-30,PLN,85.0,86.8,80.0,80.45,150952.94
2020-11-02,PLN,81.2,85.44,81.18,84.17,245239.26
2020-11-03,PLN,85.4,85.5,82.12,83.69,159019.1
2020-11-04,PLN,83.0,87.2,82.5,86.59,170279.13
2020-11-05,PLN,88.3,89.6,86.7,87.56,114207.28
2020-11-06,PLN,88.0,93.0,87.87,92.13,260915.19
2020-11-09,PLN,94.0,95.3,84.6,90.61,414195.44
2020-11-10,PLN,89.0,89.0,82.62,82.75,376669.86
2020-11-12,PLN,84.41,84.6,79.45,79.5,403727.09
2020-11-13,PLN,79.95,80.36,74.7,75.88,280588.47
2020-11-16,PLN,76.05,76.48,72.11,72.39,199385.45
2020-11-17,PLN,71.2,71.44,67.4,67.89,280394.81
2020-11-18,PLN,67.8,69.99,65.3,67.3,212976.57
2020-11-19,PLN,67.67,71.9,67.45,71.9,185730.4
2020-11-20,PLN,73.29,79.45,72.74,78.32,254948.26
2020-11-23,PLN,79.6,81.62,75.0,76.6,226871.59
2020-11-24,PLN,76.6,79.2,73.46,78.27,181946.72
2020-11-25,PLN,75.5,79.34,75.02,79.34,157302.55
2020-11-26,PLN,77.0,77.32,74.0,74.2,146526.93
2020-11-27,PLN,72.68,76.0,70.7,75.0,139480.96
2020-11-30,PLN,75.0,77.6,74.32,77.07,254138.45
2020-12-01,PLN,78.5,78.5,75.01,75.01,79115.79
2020-12-02,PLN,74.2,75.87,74.0,75.2,83263.27
2020-12-03,PLN,75.6,76.4,74.8,74.8,107885.48
2020-12-04,PLN,74.8,75.86,74.6,75.5,163481.94
2020-12-07,PLN,75.5,75.5,72.6,74.45,177306.96
2020-12-08,PLN,75.0,78.26,73.91,78.26,95220.37
2020-12-09,PLN,78.2,78.35,75.5,75.57,99322.27
2020-12-10,PLN,76.04,78.96,75.86,78.7,90470.04
2020-12-11,PLN,78.65,79.8,77.3,79.8,106988.75
2020-12-14,PLN,80.0,84.7,79.31,83.65,155089.66
2020-12-15,PLN,83.65,86.4,83.01,84.92,156277.26
2020-12-16,PLN,85.5,88.59,84.2,85.0,115673.33
2020-12-17,PLN,86.0,87.78,85.53,85.95,111334.85
2020-12-18,PLN,87.0,88.0,84.49,86.1,759778.37
2020-12-21,PLN,86.5,86.99,79.05,81.05,119149.19
2020-12-22,PLN,81.1,85.65,81.1,83.04,76283.31
2020-12-23,PLN,83.67,85.88,83.21,85.69,49691.09
2020-12-28,PLN,85.99,86.76,84.49,86.55,50758.37
2020-12-29,PLN,87.1,87.35,85.02,85.96,43911.98
2020-12-30,PLN,85.32,85.9,84.56,84.7,65939.89
2021-01-04,PLN,84.0,85.84,83.4,84.4,100851.13
2021-01-05,PLN,84.0,87.29,83.8,85.99,109103.66
2021-01-07,PLN,86.85,87.5,82.8,82.93,118842.48
2021-01-08,PLN,83.16,83.89,78.35,80.59,128693.14
2021-01-11,PLN,81.75,82.84,79.1,80.5,72305.68
2021-01-12,PLN,81.3,82.3,79.34,80.0,53154.75
