date,currency,open,max,min,close,volume
1998-06-02,PLN,0.0,0.0,0.0,40.5,12249.14
1998-06-03,PLN,0.0,0.0,0.0,44.5,5158.35
1998-06-04,PLN,0.0,0.0,0.0,48.5,16647.24
1998-06-05,PLN,0.0,0.0,0.0,49.3,6477.23
1998-06-08,PLN,0.0,0.0,0.0,49.0,3628.84
1998-06-09,PLN,0.0,0.0,0.0,47.0,2404.24
1998-06-10,PLN,0.0,0.0,0.0,43.2,4414.87
1998-06-15,PLN,0.0,0.0,0.0,40.5,6860.21
1998-06-16,PLN,0.0,0.0,0.0,42.0,5870.51
1998-06-17,PLN,0.0,0.0,0.0,46.0,3956.46
1998-06-18,PLN,0.0,0.0,0.0,46.9,3481.39
1998-06-19,PLN,0.0,0.0,0.0,46.4,4721.01
1998-06-22,PLN,0.0,0.0,0.0,47.5,6931.68
1998-06-23,PLN,0.0,0.0,0.0,49.0,6855.98
1998-06-24,PLN,0.0,0.0,0.0,49.0,2437.46
1998-06-25,PLN,0.0,0.0,0.0,49.0,2783.1
1998-06-26,PLN,0.0,0.0,0.0,50.5,10455.82
1998-06-29,PLN,0.0,0.0,0.0,51.5,4851.61
1998-06-30,PLN,0.0,0.0,0.0,52.0,4380.79
1998-07-01,PLN,0.0,0.0,0.0,54.5,5971.24
1998-07-02,PLN,0.0,0.0,0.0,55.5,5160.83
1998-07-03,PLN,0.0,0.0,0.0,57.0,5562.74
1998-07-06,PLN,0.0,0.0,0.0,59.0,6588.65
1998-07-07,PLN,0.0,0.0,0.0,60.5,13090.51
1998-07-08,PLN,0.0,0.0,0.0,60.0,4033.44
1998-07-09,PLN,0.0,0.0,0.0,57.0,8555.36
1998-07-10,PLN,0.0,0.0,0.0,57.0,3713.09
1998-07-13,PLN,0.0,0.0,0.0,61.0,1630.04
1998-07-14,PLN,0.0,0.0,0.0,65.5,8730.63
1998-07-15,PLN,0.0,0.0,0.0,65.5,5258.08
1998-07-16,PLN,0.0,0.0,0.0,65.0,3330.6
1998-07-17,PLN,0.0,0.0,0.0,0.0,5917.44
1998-07-20,PLN,67.5,69.5,67.0,65.0,3823.56
1998-07-21,PLN,68.5,68.5,67.5,69.5,6409.99
1998-07-22,PLN,66.5,66.5,65.0,66.5,848.35
1998-07-23,PLN,68.0,69.5,68.0,66.0,3984.68
1998-07-24,PLN,68.5,69.0,67.0,67.0,3760.84
1998-07-27,PLN,66.0,66.5,64.0,67.5,949.9
1998-07-28,PLN,64.0,64.0,63.0,65.0,4647.37
1998-07-29,PLN,60.5,63.5,60.5,62.0,5326.67
1998-07-30,PLN,65.5,65.5,63.0,64.0,894.15
1998-07-31,PLN,65.0,65.0,64.0,65.5,496.85
1998-08-03,PLN,63.0,64.0,62.5,63.0,1301.95
1998-08-04,PLN,65.5,67.0,65.5,64.0,2517.65
1998-08-05,PLN,66.5,67.0,65.5,65.0,5314.27
1998-08-06,PLN,69.5,69.5,66.5,68.0,5503.51
1998-08-07,PLN,68.0,72.0,68.0,69.0,5360.89
1998-08-10,PLN,72.0,72.0,70.5,70.0,4099.9
1998-08-11,PLN,66.5,66.5,63.5,68.5,7199.08
1998-08-12,PLN,65.5,68.5,65.5,68.0,6779.33
1998-08-13,PLN,61.5,63.5,61.5,64.0,8866.43
1998-08-14,PLN,66.0,67.0,66.0,65.0,2799.81
1998-08-17,PLN,63.0,64.0,62.5,63.0,500.35
1998-08-18,PLN,67.0,67.0,66.0,66.0,3537.86
1998-08-19,PLN,67.0,68.0,66.0,68.5,4138.91
1998-08-20,PLN,67.5,68.0,67.0,67.5,8907.17
1998-08-21,PLN,63.0,64.5,63.0,63.5,4149.98
1998-08-24,PLN,64.5,65.5,64.5,66.0,940.35
1998-08-25,PLN,67.5,67.5,66.5,67.0,5069.89
1998-08-26,PLN,64.0,64.0,63.0,64.5,1757.5
1998-08-27,PLN,58.5,58.5,56.0,60.5,3119.86
1998-08-28,PLN,52.5,57.5,52.5,54.5,3380.31
1998-08-31,PLN,57.0,57.0,56.0,57.0,727.45
1998-09-01,PLN,53.5,55.0,53.5,52.0,2706.39
1998-09-02,PLN,59.5,59.5,57.5,57.0,3816.75
1998-09-03,PLN,55.0,55.0,53.5,56.0,756.35
1998-09-04,PLN,56.5,58.0,56.5,56.0,5898.03
1998-09-07,PLN,60.5,61.5,58.5,60.5,5053.44
1998-09-08,PLN,61.0,62.5,60.0,60.5,5314.44
1998-09-09,PLN,59.0,60.0,58.0,60.0,761.4
1998-09-10,PLN,59.0,60.0,58.0,59.0,7419.01
1998-09-11,PLN,57.0,57.5,57.0,57.0,543.4
1998-09-14,PLN,60.0,60.0,58.5,59.5,479.25
1998-09-15,PLN,57.5,57.5,57.5,59.5,299.0
1998-09-16,PLN,57.5,57.5,57.5,58.0,2808.94
1998-09-17,PLN,55.0,55.0,53.0,55.0,893.0
1998-09-18,PLN,54.0,55.0,54.0,53.0,184.05
1998-09-21,PLN,53.5,53.5,53.0,54.0,7164.72
1998-09-22,PLN,57.5,58.0,56.5,56.0,657.7
