date,currency,open,max,min,close,volume
2004-12-02,PLN,10.1,10.25,9.85,9.95,5092.27
2004-12-03,PLN,9.95,9.95,9.45,9.8,926.18
2004-12-06,PLN,9.75,9.75,9.5,9.6,468.6
2004-12-07,PLN,9.5,9.5,9.15,9.4,419.89
2004-12-08,PLN,9.4,9.4,9.1,9.35,213.54
2004-12-09,PLN,9.4,9.4,9.2,9.4,205.0
2004-12-10,PLN,9.4,9.4,9.3,9.35,90.93
2004-12-13,PLN,9.45,9.45,9.1,9.1,83.25
2004-12-14,PLN,9.2,9.3,9.15,9.3,199.65
2004-12-15,PLN,9.35,9.35,9.15,9.2,156.12
2004-12-16,PLN,9.1,9.5,9.1,9.5,334.71
2004-12-17,PLN,9.3,9.65,9.3,9.5,267.01
2004-12-20,PLN,9.5,9.5,9.3,9.35,66.64
2004-12-21,PLN,9.4,9.4,9.35,9.35,88.69
2004-12-22,PLN,9.3,9.3,9.15,9.3,38.15
2004-12-23,PLN,9.4,9.4,9.25,9.35,49.68
2004-12-24,PLN,9.35,9.45,9.35,9.45,76.23
2004-12-27,PLN,9.4,9.55,9.4,9.55,183.15
2004-12-28,PLN,9.35,9.5,9.35,9.5,210.49
2004-12-29,PLN,9.45,9.5,9.45,9.5,295.56
2004-12-30,PLN,9.4,9.55,9.4,9.55,580.76
2004-12-31,PLN,9.3,9.55,9.3,9.55,628.0
2005-01-03,PLN,9.5,9.55,9.45,9.55,124.57
2005-01-04,PLN,9.55,9.55,9.5,9.5,73.95
2005-01-05,PLN,9.45,9.45,9.15,9.2,53.53
2005-01-06,PLN,9.2,9.25,9.2,9.2,177.51
2005-01-07,PLN,9.2,9.4,9.2,9.2,63.02
2005-01-10,PLN,9.2,9.2,9.15,9.15,13.93
2005-01-11,PLN,9.15,9.15,9.0,9.0,1753.89
2005-01-12,PLN,8.95,9.05,8.95,9.05,64.77
2005-01-13,PLN,8.9,9.15,8.9,9.15,116.05
2005-01-14,PLN,9.0,9.2,9.0,9.2,85.04
2005-01-17,PLN,9.0,9.2,9.0,9.2,135.68
2005-01-18,PLN,9.15,9.25,9.0,9.25,327.22
2005-01-19,PLN,9.2,9.25,9.2,9.25,115.43
2005-01-20,PLN,9.0,9.3,9.0,9.3,30.59
2005-01-21,PLN,9.05,9.05,8.9,8.9,12.61
2005-01-24,PLN,9.0,9.0,8.9,9.0,31.56
2005-01-25,PLN,8.95,8.95,8.95,8.95,18.2
2005-01-26,PLN,9.1,9.25,8.95,9.1,41.03
2005-01-27,PLN,8.95,9.1,8.95,9.1,88.53
2005-01-28,PLN,8.95,9.3,8.95,9.2,213.38
2005-01-31,PLN,9.2,9.2,9.0,9.2,219.34
2005-02-01,PLN,9.0,9.4,9.0,9.4,171.1
2005-02-02,PLN,9.3,9.4,9.3,9.4,898.95
2005-02-03,PLN,9.15,9.4,9.15,9.4,105.46
2005-02-04,PLN,9.4,9.4,9.15,9.4,61.72
2005-02-07,PLN,9.15,9.5,9.15,9.5,266.65
2005-02-08,PLN,9.5,9.5,9.25,9.5,52.68
2005-02-09,PLN,9.25,9.5,9.25,9.5,119.84
2005-02-10,PLN,9.25,9.5,9.25,9.5,936.5
2005-02-11,PLN,9.5,9.6,9.5,9.6,326.03
2005-02-14,PLN,9.55,9.55,9.35,9.5,32.04
2005-02-15,PLN,9.45,9.45,9.35,9.45,105.01
2005-02-16,PLN,9.25,9.55,9.25,9.55,86.34
2005-02-17,PLN,9.5,9.65,9.5,9.65,851.52
2005-02-18,PLN,9.55,9.65,9.5,9.65,4142.74
2005-02-21,PLN,9.65,9.65,9.25,9.5,4695.2
2005-02-22,PLN,9.6,9.9,9.5,9.8,3456.89
2005-02-23,PLN,9.75,10.4,9.75,10.4,3966.71
2005-02-24,PLN,10.5,10.5,10.2,10.4,571.8
2005-02-25,PLN,10.25,11.0,10.25,11.0,3921.77
2005-02-28,PLN,10.95,10.95,10.5,10.8,5206.81
2005-03-01,PLN,10.85,11.2,10.65,11.0,2447.12
2005-03-02,PLN,10.85,10.95,10.65,10.8,2304.88
2005-03-03,PLN,10.8,11.0,10.8,10.95,522.02
2005-03-04,PLN,10.95,10.95,10.7,10.7,98.94
2005-03-07,PLN,10.7,11.1,10.6,11.0,714.02
2005-03-08,PLN,11.0,11.2,10.8,10.95,1806.37
2005-03-09,PLN,10.95,10.95,10.7,10.9,817.22
2005-03-10,PLN,10.8,10.9,10.65,10.9,4901.47
2005-03-11,PLN,10.9,10.9,10.65,10.8,137.53
2005-03-14,PLN,10.7,10.7,10.6,10.65,360.53
2005-03-15,PLN,10.6,10.7,10.55,10.7,415.48
2005-03-16,PLN,10.7,10.7,10.55,10.7,1708.9
2005-03-17,PLN,10.7,10.7,10.0,10.5,675.37
2005-03-18,PLN,10.65,10.95,10.65,10.95,4437.91
2005-03-21,PLN,11.2,11.6,11.2,11.35,6387.87
2005-03-22,PLN,11.55,11.9,11.45,11.75,3165.24
2005-03-23,PLN,11.85,12.7,11.65,12.55,6026.29
2005-03-24,PLN,12.5,12.75,12.1,12.3,4413.23
2005-03-29,PLN,12.3,12.45,12.05,12.4,206.6
2005-03-30,PLN,12.4,12.4,12.1,12.25,454.47
2005-03-31,PLN,12.35,12.6,12.35,12.6,3818.43
2005-04-01,PLN,12.95,13.1,12.85,13.0,721.46
2005-04-04,PLN,13.1,13.6,12.9,13.5,3622.26
2005-04-05,PLN,13.8,13.9,13.45,13.45,1171.66
2005-04-06,PLN,13.45,13.5,13.15,13.15,473.11
2005-04-07,PLN,13.4,14.1,13.4,14.0,6045.95
2005-04-11,PLN,14.45,15.35,14.3,14.3,8224.55
2005-04-12,PLN,14.35,14.65,13.8,14.0,5702.98
2005-04-13,PLN,14.05,14.7,14.05,14.2,2257.97
2005-04-14,PLN,14.1,14.2,13.7,13.75,2252.28
2005-04-15,PLN,13.7,13.9,13.6,13.8,933.63
2005-04-18,PLN,13.55,14.3,13.25,14.3,1599.25
