date,currency,open,max,min,close,volume
2013-01-04,PLN,6.62,6.75,6.58,6.64,1043.46
2013-01-07,PLN,6.64,6.8,6.6,6.7,1767.23
2013-01-08,PLN,6.6,6.75,6.6,6.7,1233.58
2013-01-09,PLN,6.73,6.87,6.65,6.67,1852.69
2013-01-10,PLN,6.67,6.7,6.58,6.66,1331.66
2013-01-11,PLN,6.73,6.74,6.5,6.5,1011.27
2013-01-14,PLN,6.56,6.58,6.32,6.33,1686.66
2013-01-15,PLN,6.32,6.35,6.22,6.23,1829.71
2013-01-16,PLN,6.22,6.49,6.1,6.49,2816.83
2013-01-17,PLN,6.46,6.66,6.37,6.55,1377.08
2013-01-18,PLN,6.59,6.71,6.5,6.7,2026.05
2013-01-21,PLN,6.7,6.75,6.62,6.69,423.72
2013-01-22,PLN,6.7,6.71,6.6,6.67,1449.04
2013-01-23,PLN,6.68,6.68,6.57,6.65,516.93
2013-01-24,PLN,6.61,6.68,6.59,6.66,451.65
2013-01-25,PLN,6.68,6.69,6.59,6.62,570.5
2013-01-28,PLN,6.62,6.67,6.61,6.63,659.74
2013-01-29,PLN,6.64,6.65,6.61,6.63,515.28
2013-01-30,PLN,6.63,6.69,6.33,6.62,1147.75
2013-01-31,PLN,6.54,6.79,6.5,6.72,717.42
2013-02-01,PLN,6.72,6.78,6.68,6.75,821.0
2013-02-04,PLN,6.8,7.15,6.8,7.0,6975.34
2013-02-05,PLN,7.06,7.2,7.05,7.06,6376.57
2013-02-06,PLN,7.12,7.14,6.83,6.88,2113.08
2013-02-07,PLN,6.88,7.07,6.78,6.96,1366.95
2013-02-08,PLN,6.96,7.04,6.86,6.95,548.56
2013-02-11,PLN,6.9,7.15,6.9,7.15,2522.96
2013-02-12,PLN,7.1,7.39,7.08,7.33,3653.18
2013-02-13,PLN,7.39,7.52,7.28,7.28,3264.33
2013-02-14,PLN,7.24,7.31,7.11,7.16,1902.22
2013-02-15,PLN,7.2,7.35,7.15,7.32,664.36
