date,currency,open,max,min,close,volume
2008-05-06,PLN,13.47,13.47,12.87,13.14,214411.84
2008-05-07,PLN,13.14,13.24,12.93,13.2,82799.51
2008-05-08,PLN,13.1,13.2,13.02,13.15,12321.74
2008-05-09,PLN,13.15,13.15,12.76,12.84,11695.07
2008-05-12,PLN,12.87,12.93,12.76,12.85,9417.21
2008-05-13,PLN,12.8,13.08,12.78,13.0,17062.48
2008-05-14,PLN,13.15,13.49,13.15,13.45,22528.7
2008-05-15,PLN,13.39,13.39,13.31,13.37,5301.44
2008-05-16,PLN,13.38,13.4,13.32,13.35,9671.83
2008-05-19,PLN,13.4,13.4,13.25,13.3,21183.79
2008-05-20,PLN,13.3,13.6,13.3,13.5,30458.48
2008-05-21,PLN,13.45,13.59,13.35,13.47,10795.67
2008-05-23,PLN,13.49,13.58,13.48,13.55,5490.64
2008-05-26,PLN,13.55,13.55,13.46,13.5,3146.55
2008-05-27,PLN,13.46,13.53,13.45,13.53,5798.97
2008-05-28,PLN,13.55,14.0,13.54,13.92,17470.32
2008-05-29,PLN,13.99,14.1,13.9,13.91,11422.87
2008-05-30,PLN,14.0,14.37,13.99,14.37,5556.64
2008-06-02,PLN,14.39,14.9,14.35,14.75,23553.68
2008-06-03,PLN,14.79,15.45,14.77,15.4,20365.92
2008-06-04,PLN,15.49,15.5,14.7,14.79,6879.91
2008-06-05,PLN,14.5,14.94,14.15,14.59,8954.99
2008-06-06,PLN,14.84,14.93,14.5,14.65,3417.44
2008-06-09,PLN,14.29,14.5,13.98,14.45,4764.89
2008-06-10,PLN,14.2,14.25,13.7,14.01,10631.71
2008-06-11,PLN,13.81,13.95,13.66,13.85,7958.97
2008-06-12,PLN,13.65,14.05,13.61,13.7,4514.48
2008-06-13,PLN,13.7,14.0,13.52,13.92,1507.37
2008-06-16,PLN,13.91,14.36,13.9,14.3,2748.66
2008-06-17,PLN,14.25,14.55,14.25,14.4,2432.99
2008-06-18,PLN,14.35,14.37,13.9,14.0,3312.66
2008-06-19,PLN,13.95,14.0,13.52,13.9,12569.85
2008-06-20,PLN,14.0,14.1,13.92,13.92,6142.55
2008-06-23,PLN,13.99,14.0,13.65,13.7,6970.25
2008-06-24,PLN,13.7,13.74,13.01,13.3,7014.32
2008-06-25,PLN,13.2,13.3,13.09,13.15,14249.73
2008-06-26,PLN,13.06,13.2,13.06,13.1,1534.98
2008-06-27,PLN,13.0,13.3,12.9,13.2,4319.2
2008-06-30,PLN,13.15,13.4,13.06,13.4,3534.22
2008-07-01,PLN,13.48,13.64,13.13,13.13,10806.54
2008-07-02,PLN,13.13,13.81,13.13,13.71,4598.74
2008-07-03,PLN,13.65,13.65,13.5,13.55,6693.58
2008-07-04,PLN,13.5,13.6,13.4,13.4,2406.13
2008-07-07,PLN,13.55,13.55,13.4,13.5,2513.43
2008-07-08,PLN,13.4,13.54,13.21,13.48,2177.84
2008-07-09,PLN,13.4,13.55,13.37,13.5,2475.52
2008-07-10,PLN,13.35,13.45,13.25,13.39,2390.85
2008-07-11,PLN,13.5,13.5,12.81,12.81,1138.79
2008-07-14,PLN,12.7,12.9,12.2,12.45,960.66
2008-07-15,PLN,12.11,12.13,11.9,12.0,4001.7
2008-07-16,PLN,12.0,12.19,11.45,12.0,4019.79
2008-07-17,PLN,12.2,12.83,12.01,12.55,2775.12
2008-07-18,PLN,12.5,13.05,12.5,13.0,2248.73
2008-07-21,PLN,13.05,13.49,13.0,13.49,1735.6
2008-07-22,PLN,13.47,13.7,13.42,13.7,1400.09
2008-07-23,PLN,13.78,14.15,13.78,14.11,4141.69
2008-07-24,PLN,14.1,14.1,13.9,14.0,5295.9
2008-07-25,PLN,13.79,14.14,13.61,14.0,2121.06
2008-07-28,PLN,14.16,14.16,14.0,14.15,698.39
2008-07-29,PLN,14.08,14.08,14.0,14.05,8544.18
2008-07-30,PLN,14.1,14.18,14.01,14.15,1524.26
2008-07-31,PLN,13.92,14.2,13.92,14.2,11474.38
2008-08-01,PLN,14.15,14.15,14.0,14.06,8568.24
2008-08-04,PLN,13.9,14.0,13.75,13.75,3078.76
2008-08-05,PLN,13.75,13.88,13.75,13.8,5263.3
2008-08-06,PLN,14.0,14.1,13.9,14.0,6001.2
