date,currency,open,max,min,close,volume
2017-04-19,PLN,36.15,37.88,36.15,37.5,380521.13
2017-04-20,PLN,37.45,38.2,37.2,38.0,51584.16
2017-04-21,PLN,38.14,39.5,38.08,39.19,58424.98
2017-04-24,PLN,39.5,39.5,38.6,39.36,25933.1
2017-04-25,PLN,38.86,39.94,38.72,39.15,36129.03
2017-04-26,PLN,39.2,39.46,37.51,38.69,18181.68
2017-04-27,PLN,38.69,38.69,38.18,38.55,2565.73
2017-04-28,PLN,38.69,38.76,37.77,38.76,6944.18
2017-05-02,PLN,38.55,38.7,38.08,38.7,1747.99
2017-05-04,PLN,39.0,39.48,38.7,38.8,6582.33
2017-05-05,PLN,38.99,39.3,38.81,38.84,4978.84
2017-05-08,PLN,39.0,39.35,37.95,39.01,5692.73
2017-05-09,PLN,39.03,39.33,38.21,38.6,3315.04
2017-05-10,PLN,38.5,38.5,38.05,38.4,2754.68
2017-05-11,PLN,38.4,38.4,37.6,38.0,9361.57
2017-05-12,PLN,38.0,38.79,37.79,38.79,3756.34
2017-05-15,PLN,38.5,39.15,38.5,39.0,18712.55
2017-05-16,PLN,39.0,39.28,38.87,38.98,7457.12
2017-05-17,PLN,38.75,39.0,38.3,38.71,938.2
2017-05-18,PLN,38.31,38.59,37.76,38.23,1511.51
2017-05-19,PLN,38.05,39.95,38.05,39.8,9197.54
2017-05-22,PLN,39.79,40.56,39.3,40.5,10032.57
2017-05-23,PLN,40.65,40.65,40.0,40.35,5433.35
2017-05-24,PLN,41.0,42.03,40.35,41.48,24156.71
2017-05-25,PLN,41.53,41.53,40.36,40.83,10935.78
2017-05-26,PLN,40.75,41.5,40.75,41.45,5225.49
2017-05-29,PLN,41.38,41.5,41.24,41.48,232.14
2017-05-30,PLN,41.69,41.69,40.65,40.65,5886.77
2017-05-31,PLN,40.7,41.13,40.7,41.13,9781.54
2017-06-01,PLN,41.29,43.18,41.29,43.01,7754.25
2017-06-02,PLN,43.7,46.22,43.7,45.0,20718.65
2017-06-05,PLN,45.0,45.8,43.92,45.0,4013.78
2017-06-06,PLN,44.6,44.7,44.23,44.49,2058.66
2017-06-07,PLN,44.71,45.0,43.95,44.39,3388.53
2017-06-08,PLN,44.68,44.68,43.5,43.76,8496.06
2017-06-09,PLN,43.99,44.0,43.7,43.85,391.4
2017-06-12,PLN,44.0,44.14,43.21,43.88,590.2
2017-06-13,PLN,43.88,43.9,43.6,43.85,350.74
2017-06-14,PLN,44.05,44.05,43.35,43.35,11874.12
2017-06-16,PLN,43.35,44.0,43.1,43.75,8899.95
2017-06-19,PLN,44.99,45.3,44.56,44.9,24434.63
2017-06-20,PLN,45.17,45.6,45.17,45.31,3843.92
2017-06-21,PLN,45.95,45.95,45.19,45.19,1319.99
2017-06-22,PLN,45.19,45.19,45.0,45.1,29572.95
2017-06-23,PLN,45.5,45.79,45.12,45.48,2577.53
2017-06-26,PLN,45.79,45.93,45.51,45.8,4561.06
2017-06-27,PLN,45.8,45.8,45.4,45.4,604.14
2017-06-28,PLN,45.4,45.6,45.0,45.6,970.79
2017-06-29,PLN,45.9,46.0,45.8,46.0,3118.71
2017-06-30,PLN,45.85,46.89,45.83,46.89,5615.52
2017-07-03,PLN,47.13,47.32,46.52,47.1,656.28
2017-07-04,PLN,47.1,47.75,46.83,46.97,6572.27
2017-07-05,PLN,47.3,47.3,45.25,46.5,1933.48
2017-07-06,PLN,46.12,47.0,46.0,47.0,368.41
2017-07-07,PLN,47.2,47.78,46.03,46.2,11473.04
2017-07-10,PLN,46.2,47.2,46.2,47.2,21780.91
