date,currency,open,max,min,close,volume
2011-07-06,PLN,140.5,140.9,135.8,136.0,1008136.67
2011-07-07,PLN,136.0,140.3,136.0,139.7,384232.64
2011-07-08,PLN,140.2,142.7,139.0,141.0,155146.97
2011-07-11,PLN,140.3,141.9,137.1,138.0,61852.11
2011-07-12,PLN,137.0,139.4,136.0,138.9,114477.13
2011-07-13,PLN,138.4,141.4,138.4,141.3,112457.48
2011-07-14,PLN,140.3,141.0,139.1,141.0,34424.01
2011-07-15,PLN,140.2,141.7,140.0,141.5,63642.67
2011-07-18,PLN,141.0,141.5,138.0,140.0,72898.8
2011-07-19,PLN,140.2,141.8,139.8,140.0,499469.78
2011-07-20,PLN,139.5,140.0,136.5,137.5,47070.18
2011-07-21,PLN,137.7,138.0,136.2,137.0,42698.13
2011-07-22,PLN,137.7,137.7,136.4,136.5,22507.24
2011-07-25,PLN,136.5,136.5,136.0,136.0,105404.06
2011-07-26,PLN,136.0,136.6,136.0,136.2,267686.7
2011-07-27,PLN,136.0,136.1,133.6,134.6,421198.9
2011-07-28,PLN,133.1,135.5,132.6,135.5,23332.41
2011-07-29,PLN,134.2,136.7,134.2,136.5,52972.13
2011-08-01,PLN,136.1,137.6,136.1,137.0,58677.87
2011-08-02,PLN,136.5,136.5,133.8,134.4,17966.52
2011-08-03,PLN,131.6,133.4,123.1,126.0,61852.49
2011-08-04,PLN,125.5,126.9,113.8,117.9,81795.96
2011-08-05,PLN,108.0,116.0,108.0,113.5,69616.68
2011-08-08,PLN,110.5,112.4,101.5,101.9,46486.15
2011-08-09,PLN,101.0,104.6,89.0,94.3,92711.87
2011-08-10,PLN,100.0,102.3,85.5,86.0,49642.13
2011-08-11,PLN,89.9,100.0,86.0,100.0,77032.93
2011-08-12,PLN,103.6,108.0,101.0,105.0,44400.6
2011-08-16,PLN,107.9,107.9,104.0,106.1,24041.6
2011-08-17,PLN,105.9,106.9,104.2,106.9,16971.86
2011-08-18,PLN,105.4,105.4,93.0,96.3,33994.89
2011-08-19,PLN,93.1,102.1,91.0,99.95,37708.28
2011-08-22,PLN,99.6,103.1,97.5,100.6,19017.96
2011-08-23,PLN,102.6,105.0,101.8,105.0,24672.78
2011-08-24,PLN,106.1,106.5,103.5,104.6,12799.3
2011-08-25,PLN,105.9,106.8,104.6,106.5,8735.9
2011-08-26,PLN,105.5,105.9,102.5,105.0,6146.56
2011-08-29,PLN,106.0,109.2,105.8,108.6,9569.8
2011-08-30,PLN,110.0,113.3,109.0,111.0,22618.48
2011-08-31,PLN,106.5,109.6,104.5,108.0,67540.61
2011-09-01,PLN,107.7,107.7,102.1,103.7,16418.18
2011-09-02,PLN,102.5,103.0,97.2,99.8,22782.55
2011-09-05,PLN,95.95,97.5,93.0,93.0,14582.21
2011-09-06,PLN,93.95,97.0,90.5,93.0,19543.83
2011-09-07,PLN,95.9,98.6,95.0,98.6,15983.59
2011-09-08,PLN,99.9,103.1,99.5,102.5,20731.04
2011-09-09,PLN,100.6,102.5,98.9,100.0,20543.62
2011-09-12,PLN,97.2,98.45,95.0,96.05,16675.89
2011-09-13,PLN,99.0,99.4,94.15,96.5,12499.63
2011-09-14,PLN,97.8,99.0,95.75,99.0,24969.47
2011-09-15,PLN,100.0,101.5,99.1,100.0,29366.66
2011-09-16,PLN,101.0,104.0,100.2,104.0,123776.78
2011-09-19,PLN,100.2,102.0,100.0,101.9,17669.97
2011-09-20,PLN,102.5,104.0,100.6,102.5,13832.84
2011-09-21,PLN,102.4,102.9,99.55,100.5,11464.77
2011-09-22,PLN,97.5,97.8,90.0,90.0,43238.22
2011-09-23,PLN,88.9,93.0,84.0,89.0,50920.56
2011-09-26,PLN,86.5,92.0,85.5,88.75,28723.95
2011-09-27,PLN,92.1,92.5,90.0,90.0,13176.78
2011-09-28,PLN,90.0,91.5,87.3,89.0,20395.32
2011-09-29,PLN,88.15,89.75,87.05,87.5,41382.11
2011-09-30,PLN,87.85,87.85,84.5,85.0,17023.15
2011-10-03,PLN,84.0,85.45,81.45,83.4,13927.01
2011-10-04,PLN,82.1,82.5,78.25,81.3,26296.82
2011-10-05,PLN,83.0,84.5,82.55,84.0,23836.57
2011-10-06,PLN,86.2,89.0,85.3,87.65,24552.01
2011-10-07,PLN,89.0,90.75,87.0,88.7,29171.93
2011-10-10,PLN,90.15,93.0,88.9,93.0,18389.64
2011-10-11,PLN,93.0,94.4,91.7,93.65,25246.84
2011-10-12,PLN,93.0,99.25,89.9,99.25,47301.99
2011-10-13,PLN,98.3,102.6,97.0,98.0,35983.32
2011-10-14,PLN,98.0,99.4,96.4,98.55,9763.36
2011-10-17,PLN,99.8,101.0,93.05,95.0,15043.19
2011-10-18,PLN,93.95,93.95,92.0,93.5,23187.77
2011-10-19,PLN,94.5,94.9,90.8,91.4,17483.91
2011-10-20,PLN,90.0,90.35,87.4,87.4,34007.81
2011-10-21,PLN,88.6,90.8,87.9,89.5,34268.65
2011-10-24,PLN,91.2,92.8,91.2,92.8,22641.61
2011-10-25,PLN,93.95,94.8,91.1,92.7,45441.64
2011-10-26,PLN,92.0,93.8,91.0,93.15,19413.3
2011-10-27,PLN,95.5,96.2,94.5,94.8,30546.18
2011-10-28,PLN,95.4,95.4,92.2,94.8,16734.73
2011-10-31,PLN,93.4,93.4,92.1,93.1,12379.5
2011-11-02,PLN,88.0,92.75,87.7,91.8,45010.24
2011-11-03,PLN,90.6,94.5,90.6,94.2,9980.84
2011-11-04,PLN,94.5,94.6,91.2,92.0,11655.11
2011-11-07,PLN,91.9,94.0,91.5,92.55,7218.45
2011-11-08,PLN,93.0,94.1,92.6,93.0,12014.13
2011-11-09,PLN,94.0,94.0,89.25,89.5,18942.97
2011-11-10,PLN,89.0,90.25,88.0,88.1,18796.16
2011-11-14,PLN,91.5,91.6,89.7,90.9,21024.76
2011-11-15,PLN,91.0,91.65,88.25,89.45,17751.87
2011-11-16,PLN,89.1,90.35,88.5,90.35,10159.33
2011-11-17,PLN,88.5,90.25,88.4,88.4,7208.62
2011-11-18,PLN,88.95,90.0,88.15,89.0,5003.43
2011-11-21,PLN,88.0,88.5,82.6,84.7,22827.65
2011-11-22,PLN,85.35,88.75,85.35,88.75,11232.15
2011-11-23,PLN,86.0,86.6,84.9,85.9,14725.65
2011-11-24,PLN,85.5,85.55,84.0,85.55,10433.18
2011-11-25,PLN,84.45,85.4,83.6,84.0,7994.24
2011-11-28,PLN,84.8,85.5,83.2,84.4,13762.61
2011-11-29,PLN,84.35,85.45,83.75,85.2,9367.07
