date,currency,open,max,min,close,volume
2005-06-09,PLN,32.0,32.0,30.0,30.0,92022.27
2005-06-10,PLN,30.1,30.5,29.5,29.5,34029.81
2005-06-13,PLN,30.0,30.1,29.5,29.7,10583.65
2005-06-14,PLN,29.9,29.9,29.7,29.7,9001.33
2005-06-15,PLN,29.7,29.8,29.5,29.7,7935.3
2005-06-16,PLN,29.7,29.7,29.2,29.2,8439.58
2005-06-17,PLN,29.4,29.4,29.0,29.1,13892.76
2005-06-20,PLN,29.0,29.1,28.8,29.0,11119.05
2005-06-21,PLN,29.0,29.1,28.8,29.0,15852.07
2005-06-22,PLN,29.1,29.9,29.1,29.8,14806.55
2005-06-23,PLN,30.0,30.3,29.6,29.6,11065.15
2005-06-24,PLN,29.7,29.9,29.4,29.4,2102.06
2005-06-27,PLN,29.4,29.8,29.3,29.7,1110.91
2005-06-28,PLN,29.8,29.8,29.4,29.7,1063.92
2005-06-29,PLN,29.9,29.9,29.5,29.6,1731.34
2005-06-30,PLN,29.7,29.7,29.3,29.6,2748.91
2005-07-01,PLN,29.7,29.7,29.4,29.5,1978.98
2005-07-04,PLN,29.5,29.9,29.5,29.7,2400.54
2005-07-05,PLN,29.8,30.2,29.7,30.0,4741.26
2005-07-06,PLN,30.0,30.0,29.8,29.9,1158.66
2005-07-07,PLN,30.0,30.0,29.5,29.9,4398.39
2005-07-08,PLN,30.0,31.3,30.0,31.0,58539.32
2005-07-11,PLN,31.4,31.8,30.9,31.1,35750.21
2005-07-12,PLN,31.2,31.2,31.0,31.1,12763.88
2005-07-13,PLN,31.1,31.5,31.1,31.5,24985.28
2005-07-14,PLN,31.6,31.7,31.4,31.5,20217.94
2005-07-15,PLN,31.4,31.4,31.2,31.3,12179.11
2005-07-18,PLN,31.2,31.3,30.6,30.7,11666.69
2005-07-19,PLN,30.6,30.8,30.3,30.7,10107.1
2005-07-20,PLN,30.7,31.0,30.3,30.4,10080.84
2005-07-21,PLN,30.5,30.7,30.0,30.0,14132.74
2005-07-22,PLN,29.9,30.0,29.6,29.7,12791.97
2005-07-25,PLN,29.9,30.8,29.9,30.8,14725.76
2005-07-26,PLN,30.8,31.3,30.8,31.3,31387.09
2005-07-27,PLN,31.3,31.4,31.1,31.4,20283.38
2005-07-28,PLN,31.4,31.6,31.3,31.6,42127.0
2005-07-29,PLN,31.6,31.6,31.3,31.4,14677.75
2005-08-01,PLN,31.3,31.4,31.0,31.2,11123.37
2005-08-02,PLN,31.3,31.7,31.3,31.5,61909.76
2005-08-03,PLN,31.5,31.8,31.2,31.7,38932.95
2005-08-04,PLN,31.6,31.7,31.4,31.6,13726.11
2005-08-05,PLN,31.6,31.6,31.3,31.4,8500.79
2005-08-08,PLN,31.5,32.6,31.5,32.6,71235.32
2005-08-09,PLN,32.6,33.1,32.6,32.9,51912.72
