date,currency,open,max,min,close,volume
2001-05-16,PLN,48.4,48.4,44.5,48.0,316.84
2001-05-17,PLN,46.5,47.9,46.0,47.9,195.14
2001-05-18,PLN,46.1,47.0,46.1,47.0,1.12
2001-05-21,PLN,0.0,0.0,0.0,47.0,0.0
2001-05-22,PLN,0.0,0.0,0.0,47.0,0.0
2001-05-23,PLN,0.0,0.0,0.0,47.0,0.0
2001-05-24,PLN,48.0,48.0,48.0,48.0,0.48
2001-05-25,PLN,48.4,48.4,48.4,48.4,23.14
2001-05-28,PLN,0.0,0.0,0.0,48.4,0.0
2001-05-29,PLN,48.3,48.3,48.3,48.3,19.32
2001-05-30,PLN,48.1,48.1,48.1,48.1,19.24
2001-05-31,PLN,48.1,48.1,48.1,48.1,9.62
2001-06-01,PLN,47.6,47.6,47.6,47.6,19.04
2001-06-04,PLN,47.5,47.5,47.0,47.0,160.0
2001-06-05,PLN,48.1,48.1,47.0,47.0,32.38
2001-06-06,PLN,48.0,48.1,47.0,48.1,23.58
2001-06-07,PLN,48.1,48.1,48.1,48.1,38.48
2001-06-08,PLN,48.3,48.3,48.3,48.3,9.66
2001-06-11,PLN,48.3,48.3,48.3,48.3,4.83
2001-06-12,PLN,46.5,48.4,46.5,48.4,23.63
2001-06-13,PLN,0.0,0.0,0.0,48.4,0.0
2001-06-15,PLN,48.2,48.5,48.0,48.5,306.04
2001-06-18,PLN,48.5,48.5,48.5,48.5,14.55
2001-06-19,PLN,0.0,0.0,0.0,48.5,0.0
2001-06-20,PLN,0.0,0.0,0.0,48.5,0.0
2001-06-21,PLN,47.5,47.5,47.5,47.5,19.0
2001-06-22,PLN,48.0,48.0,48.0,48.0,33.6
2001-06-25,PLN,48.1,48.1,48.0,48.0,19.21
2001-06-26,PLN,48.0,48.0,47.5,47.5,36.35
2001-06-27,PLN,0.0,0.0,0.0,47.5,0.0
2001-06-28,PLN,49.0,49.0,48.0,48.4,57.98
2001-06-29,PLN,49.0,49.0,49.0,49.0,67.62
2001-07-02,PLN,48.1,48.1,48.1,48.1,36.84
2001-07-03,PLN,48.4,48.9,48.4,48.4,65.19
2001-07-04,PLN,48.5,48.7,48.5,48.6,68.06
2001-07-05,PLN,48.5,48.5,48.5,48.5,34.14
2001-07-06,PLN,48.8,49.0,48.8,49.0,42.07
2001-07-09,PLN,49.1,49.1,49.1,49.1,29.46
2001-07-10,PLN,49.0,49.1,49.0,49.0,47.06
2001-07-11,PLN,49.0,49.0,49.0,49.0,65.56
2001-07-12,PLN,49.0,49.2,49.0,49.2,144.43
2001-07-13,PLN,49.0,49.0,49.0,49.0,4.9
2001-07-16,PLN,49.3,49.3,49.3,49.3,28.59
2001-07-17,PLN,49.1,49.3,49.1,49.3,76.85
2001-07-18,PLN,49.5,49.6,49.5,49.6,85.36
2001-07-19,PLN,49.6,49.9,49.6,49.9,243.07
2001-07-20,PLN,50.0,50.0,50.0,50.0,21.5
2001-07-23,PLN,51.0,51.2,51.0,51.2,39.36
2001-07-24,PLN,50.5,51.5,50.5,51.5,71.7
2001-07-25,PLN,52.0,52.0,52.0,52.0,5.2
2001-07-26,PLN,0.0,0.0,0.0,52.0,0.0
2001-07-27,PLN,51.9,51.9,51.9,51.9,1.04
2001-07-30,PLN,51.5,52.0,51.5,52.0,43.44
2001-07-31,PLN,51.6,51.6,51.6,51.6,1.03
2001-08-01,PLN,51.6,51.6,51.6,51.6,1.03
2001-08-02,PLN,52.5,52.5,50.0,52.5,44.2
2001-08-03,PLN,52.0,52.5,52.0,52.5,19.81
2001-08-06,PLN,52.4,52.4,52.4,52.4,14.67
2001-08-07,PLN,51.5,51.5,51.5,51.5,1.03
2001-08-08,PLN,50.0,51.4,49.7,49.7,74.57
2001-08-09,PLN,51.5,51.8,51.5,51.8,45.46
2001-08-10,PLN,51.0,51.0,51.0,51.0,20.4
2001-08-13,PLN,51.0,51.0,50.9,50.9,40.76
2001-08-14,PLN,51.4,51.4,51.3,51.3,10.59
2001-08-16,PLN,51.2,51.2,51.2,51.2,20.48
2001-08-17,PLN,51.0,51.1,51.0,51.1,24.52
2001-08-20,PLN,51.5,51.5,51.5,51.5,10.3
2001-08-21,PLN,51.5,51.5,51.5,51.5,4.33
2001-08-22,PLN,51.0,51.0,51.0,51.0,8.47
2001-08-23,PLN,51.9,51.9,51.9,51.9,17.96
2001-08-24,PLN,50.9,50.9,50.9,50.9,20.36
2001-08-27,PLN,51.3,51.4,50.9,51.4,100.36
2001-08-28,PLN,50.8,51.4,50.8,51.4,63.59
2001-08-29,PLN,51.5,52.0,50.4,52.0,62.0
2001-08-30,PLN,51.5,51.5,50.8,50.8,20.34
2001-08-31,PLN,50.6,50.6,50.5,50.5,40.44
2001-09-03,PLN,50.5,50.5,50.1,50.1,40.24
2001-09-04,PLN,50.0,50.8,50.0,50.8,49.02
2001-09-05,PLN,0.0,0.0,0.0,50.8,0.0
2001-09-06,PLN,50.1,50.1,50.1,50.1,4.21
2001-09-07,PLN,50.1,50.1,50.1,50.1,20.04
2001-09-10,PLN,50.5,50.5,50.5,50.5,20.2
2001-09-11,PLN,0.0,0.0,0.0,50.5,0.0
2001-09-12,PLN,50.0,50.0,50.0,50.0,30.0
2001-09-13,PLN,50.4,50.4,50.4,50.4,15.12
2001-09-14,PLN,0.0,0.0,0.0,50.4,0.0
2001-09-17,PLN,50.4,50.4,50.4,50.4,15.12
2001-09-18,PLN,49.2,49.2,49.0,49.0,39.26
2001-09-19,PLN,48.5,49.0,48.5,49.0,34.1
2001-09-20,PLN,47.5,48.5,47.5,48.5,53.46
2001-09-21,PLN,47.0,48.1,47.0,48.1,12.79
2001-09-24,PLN,48.3,48.4,48.3,48.4,31.7
2001-09-25,PLN,0.0,0.0,0.0,48.4,0.0
2001-09-26,PLN,48.4,48.4,48.4,48.4,29.23
2001-09-27,PLN,48.6,48.7,48.6,48.7,29.38
2001-09-28,PLN,48.8,48.8,48.8,48.8,38.65
2001-10-01,PLN,49.1,49.2,49.1,49.2,38.92
2001-10-02,PLN,49.2,49.3,49.2,49.3,31.99
2001-10-03,PLN,48.5,49.0,48.5,49.0,730.44
2001-10-04,PLN,49.0,49.4,49.0,49.4,29.5
2001-10-05,PLN,49.1,49.5,48.5,48.5,516.43
2001-10-08,PLN,49.4,49.5,48.1,49.5,41.73
2001-10-09,PLN,48.1,50.6,48.1,50.6,52.75
2001-10-10,PLN,50.4,50.6,50.3,50.6,50.4
2001-10-11,PLN,50.8,51.0,50.4,51.0,43.58
2001-10-12,PLN,50.8,51.1,50.8,51.1,41.27
2001-10-15,PLN,50.8,51.1,49.5,51.1,50.19
2001-10-16,PLN,0.0,0.0,0.0,51.1,0.0
2001-10-17,PLN,0.0,0.0,0.0,51.1,0.0
2001-10-18,PLN,50.6,51.0,50.6,51.0,20.55
2001-10-19,PLN,50.0,50.1,50.0,50.1,35.02
2001-10-22,PLN,49.6,49.6,49.0,49.0,30.95
2001-10-23,PLN,48.5,50.1,48.5,50.1,20.72
2001-10-24,PLN,48.6,50.5,48.6,50.5,40.94
2001-10-25,PLN,51.0,51.0,49.0,50.9,12.81
2001-10-26,PLN,0.0,0.0,0.0,50.9,0.0
2001-10-29,PLN,48.5,50.5,48.0,50.5,27.96
2001-10-30,PLN,50.5,51.2,50.5,51.0,55.39
2001-10-31,PLN,50.6,50.6,50.6,50.6,20.24
2001-11-02,PLN,48.5,50.5,48.5,50.5,21.67
2001-11-05,PLN,50.5,50.5,50.5,50.5,40.4
2001-11-06,PLN,50.5,51.0,50.5,51.0,60.8
2001-11-07,PLN,50.5,50.5,50.5,50.5,20.2
2001-11-08,PLN,0.0,0.0,0.0,50.5,0.0
2001-11-09,PLN,50.6,50.6,50.6,50.6,20.04
2001-11-12,PLN,0.0,0.0,0.0,50.6,0.0
2001-11-13,PLN,50.6,50.6,50.5,50.5,28.0
2001-11-14,PLN,50.7,50.7,50.7,50.7,39.34
2001-11-15,PLN,51.3,51.3,50.5,51.3,36.42
2001-11-16,PLN,51.3,51.9,51.3,51.9,35.21
2001-11-19,PLN,51.4,51.4,51.4,51.4,20.56
2001-11-20,PLN,51.4,51.4,51.4,51.4,20.56
2001-11-21,PLN,51.5,51.7,51.5,51.7,20.64
2001-11-22,PLN,52.0,52.0,52.0,52.0,1.04
2001-11-23,PLN,52.1,53.0,52.1,53.0,21.9
2001-11-26,PLN,52.5,52.5,52.5,52.5,12.81
2001-11-27,PLN,52.4,52.4,52.4,52.4,20.96
2001-11-28,PLN,52.4,52.4,52.4,52.4,20.96
2001-11-29,PLN,52.8,52.8,52.1,52.1,42.34
2001-11-30,PLN,52.8,52.8,52.2,52.2,21.22
2001-12-03,PLN,52.3,52.3,52.3,52.3,20.92
2001-12-04,PLN,52.8,55.7,52.8,53.3,166.41
2001-12-05,PLN,52.5,52.5,52.5,52.5,6.3
2001-12-06,PLN,52.5,52.5,52.5,52.5,68.67
2001-12-07,PLN,52.5,53.4,52.5,53.4,33.58
2001-12-10,PLN,53.3,54.5,53.3,54.5,48.33
2001-12-11,PLN,55.5,55.5,55.5,55.5,16.65
2001-12-12,PLN,54.1,57.0,54.1,55.5,24.5
2001-12-13,PLN,55.8,55.8,55.8,55.8,18.97
2001-12-14,PLN,0.0,0.0,0.0,55.8,0.0
2001-12-17,PLN,58.1,58.1,57.2,57.2,17.54
2001-12-18,PLN,59.6,59.6,59.6,59.6,47.68
2001-12-19,PLN,59.6,59.6,59.6,59.6,23.84
2001-12-20,PLN,59.5,61.5,59.5,61.5,49.14
2001-12-21,PLN,0.0,0.0,0.0,61.5,0.0
2001-12-27,PLN,63.0,63.0,63.0,63.0,19.4
2001-12-28,PLN,65.0,65.0,65.0,65.0,0.52
2001-12-31,PLN,64.8,64.8,64.8,64.8,1.3
2002-01-02,PLN,64.8,64.8,64.8,64.8,1.3
2002-01-03,PLN,0.0,0.0,0.0,64.8,0.0
2002-01-04,PLN,0.0,0.0,0.0,64.8,0.0
2002-01-07,PLN,64.0,64.0,64.0,64.0,29.44
2002-01-08,PLN,64.2,65.0,64.2,65.0,28.44
2002-01-09,PLN,65.0,67.3,65.0,67.3,32.31
2002-01-10,PLN,0.0,0.0,0.0,67.3,0.0
2002-01-11,PLN,65.1,65.1,65.1,65.1,77.34
2002-01-14,PLN,65.2,65.2,65.2,65.2,7.82
2002-01-15,PLN,65.2,65.2,65.2,65.2,13.04
2002-01-16,PLN,65.0,65.0,65.0,65.0,4.81
2002-01-17,PLN,65.1,65.1,65.1,65.1,13.02
2002-01-18,PLN,65.4,65.4,65.4,65.4,13.08
2002-01-21,PLN,65.2,65.2,65.2,65.2,26.08
2002-01-22,PLN,67.3,67.3,67.3,67.3,16.15
2002-01-23,PLN,66.4,66.4,66.4,66.4,15.94
2002-01-24,PLN,66.6,66.6,66.6,66.6,6.66
2002-01-25,PLN,67.1,69.0,67.1,69.0,13.69
2002-01-28,PLN,69.1,69.1,69.1,69.1,27.64
2002-01-29,PLN,69.3,69.3,69.3,69.3,24.95
2002-01-30,PLN,69.2,69.2,69.2,69.2,13.84
2002-01-31,PLN,70.8,70.8,70.5,70.5,24.55
2002-02-01,PLN,70.2,70.2,70.2,70.2,7.02
2002-02-04,PLN,73.6,73.6,73.6,73.6,4.42
2002-02-05,PLN,73.5,73.6,73.5,73.6,40.14
2002-02-06,PLN,73.0,73.0,73.0,73.0,24.24
2002-02-07,PLN,73.0,73.0,73.0,73.0,21.9
2002-02-08,PLN,72.0,72.0,72.0,72.0,2.88
2002-02-11,PLN,70.2,70.2,70.2,70.2,21.06
2002-02-12,PLN,70.6,70.6,70.6,70.6,25.84
2002-02-13,PLN,70.7,70.7,70.6,70.7,34.2
2002-02-14,PLN,70.6,70.6,70.6,70.6,29.65
2002-02-15,PLN,73.5,73.5,73.5,73.5,15.44
2002-02-18,PLN,73.0,73.0,71.4,71.4,10.06
2002-02-19,PLN,71.7,76.9,71.7,73.1,35.64
2002-02-20,PLN,73.6,73.6,73.2,73.6,43.57
2002-02-21,PLN,74.1,74.1,74.1,74.1,14.82
2002-02-22,PLN,75.1,75.1,75.1,75.1,15.02
2002-02-25,PLN,76.0,76.0,76.0,76.0,13.98
2002-02-26,PLN,77.6,80.0,76.0,77.0,150.67
2002-02-27,PLN,77.0,77.0,77.0,77.0,2.0
2002-02-28,PLN,81.5,85.0,81.5,85.0,10.95
2002-03-01,PLN,0.0,0.0,0.0,85.0,0.0
2002-03-04,PLN,89.1,93.4,89.0,92.4,72.89
2002-03-05,PLN,94.4,95.4,94.4,94.9,54.7
2002-03-06,PLN,94.9,94.9,94.9,94.9,27.71
2002-03-07,PLN,89.9,89.9,83.0,87.1,43.07
2002-03-08,PLN,84.1,84.1,84.0,84.0,10.09
2002-03-11,PLN,84.1,84.1,84.0,84.0,51.42
2002-03-12,PLN,84.0,85.5,84.0,85.5,2.39
2002-03-13,PLN,0.0,0.0,0.0,85.5,0.0
2002-03-14,PLN,87.0,87.0,87.0,87.0,3.48
2002-03-15,PLN,87.0,87.0,87.0,87.0,3.48
2002-03-18,PLN,87.0,87.0,87.0,87.0,3.48
2002-03-19,PLN,87.0,87.0,87.0,87.0,2.61
2002-03-20,PLN,87.0,90.0,87.0,90.0,13.92
2002-03-21,PLN,94.0,95.9,94.0,95.9,75.57
2002-03-22,PLN,91.3,96.5,91.3,94.0,8.73
2002-03-25,PLN,0.0,0.0,0.0,94.0,0.0
2002-03-26,PLN,91.0,91.9,90.0,91.9,79.78
2002-03-27,PLN,91.1,91.1,91.1,91.1,2.73
2002-03-28,PLN,91.9,92.9,91.9,92.9,18.46
2002-04-02,PLN,91.5,91.5,91.5,91.5,2.2
2002-04-03,PLN,0.0,0.0,0.0,91.5,0.0
2002-04-04,PLN,90.0,90.0,89.0,89.0,14.54
2002-04-05,PLN,88.0,91.0,88.0,91.0,3.7
2002-04-08,PLN,0.0,0.0,0.0,91.0,0.0
2002-04-09,PLN,0.0,0.0,0.0,91.0,0.0
2002-04-10,PLN,92.0,92.0,92.0,92.0,3.68
2002-04-11,PLN,92.5,92.5,92.5,92.5,2.41
2002-04-12,PLN,92.0,92.0,92.0,92.0,20.61
2002-04-15,PLN,89.0,93.0,89.0,93.0,8.2
2002-04-16,PLN,92.5,92.5,89.0,92.5,11.09
2002-04-17,PLN,90.0,90.0,90.0,90.0,38.16
2002-04-18,PLN,89.0,89.0,89.0,89.0,2.14
2002-04-19,PLN,88.9,92.3,88.5,88.5,36.51
2002-04-22,PLN,91.7,91.7,91.7,91.7,1.83
2002-04-23,PLN,90.0,90.0,90.0,90.0,18.0
2002-04-24,PLN,0.0,0.0,0.0,90.0,0.0
2002-04-25,PLN,90.9,90.9,90.9,90.9,1.82
2002-04-26,PLN,91.0,91.0,91.0,91.0,1.82
2002-04-29,PLN,92.0,92.5,92.0,92.5,9.96
2002-04-30,PLN,0.0,0.0,0.0,92.5,0.0
2002-05-02,PLN,0.0,0.0,0.0,92.5,0.0
2002-05-06,PLN,92.0,92.0,90.0,91.0,25.16
2002-05-07,PLN,91.0,91.0,91.0,91.0,4.91
2002-05-08,PLN,0.0,0.0,0.0,91.0,0.0
2002-05-09,PLN,91.0,91.0,88.5,88.5,23.91
2002-05-10,PLN,91.0,91.0,91.0,91.0,5.1
2002-05-13,PLN,91.0,93.4,89.0,93.0,154.58
2002-05-14,PLN,0.0,0.0,0.0,93.0,0.0
2002-05-15,PLN,93.5,93.5,93.5,93.5,15.71
