date,currency,open,max,min,close,volume
2014-01-17,PLN,14.95,14.95,14.31,14.65,51.81
2014-01-20,PLN,14.38,14.93,14.38,14.8,35.21
2014-01-21,PLN,14.8,14.9,14.45,14.79,14.38
2014-01-22,PLN,14.8,14.8,14.49,14.78,33.52
2014-01-23,PLN,14.7,14.77,14.3,14.7,78.66
2014-01-24,PLN,14.3,14.74,14.19,14.7,42.78
2014-01-27,PLN,14.7,14.7,14.01,14.67,15.26
2014-01-28,PLN,14.67,14.67,14.06,14.63,22.97
2014-01-29,PLN,14.63,14.65,14.2,14.58,27.25
2014-01-30,PLN,14.58,14.58,14.25,14.58,4.04
2014-01-31,PLN,14.58,14.95,14.15,14.95,70.98
2014-02-03,PLN,14.95,14.95,14.75,14.76,27.51
2014-02-04,PLN,14.94,14.94,14.52,14.89,8.21
2014-02-05,PLN,14.89,14.9,14.65,14.9,11.23
2014-02-06,PLN,14.89,14.9,14.3,14.83,91.71
2014-02-07,PLN,14.5,14.83,14.32,14.81,80.78
2014-02-10,PLN,14.4,14.9,14.4,14.9,77.5
2014-02-11,PLN,14.8,15.67,14.8,14.99,417.45
2014-02-12,PLN,15.3,15.55,15.0,15.35,83.94
2014-02-13,PLN,15.35,15.39,15.05,15.24,63.48
2014-02-14,PLN,15.39,15.39,15.0,15.3,153.0
2014-02-17,PLN,15.0,15.28,14.91,15.15,31.58
2014-02-18,PLN,14.8,15.05,14.68,15.0,38.01
2014-02-19,PLN,14.95,15.0,14.85,15.0,6.88
2014-02-20,PLN,15.0,15.0,14.2,14.7,67.2
2014-02-21,PLN,14.42,14.8,14.42,14.79,35.57
2014-02-24,PLN,14.8,15.12,14.55,14.95,48.08
2014-02-25,PLN,15.0,15.1,14.52,15.1,130.69
2014-02-26,PLN,15.09,15.09,14.21,14.65,257.88
2014-02-27,PLN,14.6,14.75,13.55,14.49,137.29
2014-02-28,PLN,14.49,14.59,14.15,14.43,81.37
2014-03-03,PLN,13.99,13.99,13.0,13.95,141.62
2014-03-04,PLN,13.95,13.95,13.5,13.8,17.55
2014-03-05,PLN,13.8,13.8,13.1,13.1,133.19
2014-03-06,PLN,13.01,13.09,12.3,13.09,156.04
2014-03-07,PLN,13.1,13.4,12.47,12.8,1031.6
2014-03-10,PLN,12.8,13.07,12.5,12.91,59.67
2014-03-11,PLN,12.9,12.95,12.6,12.94,8.31
2014-03-12,PLN,12.89,12.89,12.31,12.75,193.14
2014-03-13,PLN,12.89,12.89,12.28,12.73,6.47
2014-03-14,PLN,12.5,12.7,11.5,12.39,368.08
2014-03-17,PLN,12.0,12.85,12.0,12.85,31.09
2014-03-18,PLN,12.75,12.8,12.05,12.8,41.62
2014-03-19,PLN,12.8,12.8,12.21,12.7,65.05
2014-03-20,PLN,12.8,13.45,12.6,13.35,226.63
2014-03-21,PLN,13.15,13.75,12.95,13.5,98.16
2014-03-24,PLN,13.5,13.5,12.51,13.4,40.07
2014-03-25,PLN,13.4,13.4,12.7,13.26,3.02
2014-03-26,PLN,13.26,13.26,12.9,13.26,11.02
2014-03-27,PLN,13.3,13.49,12.92,13.24,362.54
2014-03-28,PLN,13.35,13.35,12.6,13.25,53.83
2014-03-31,PLN,13.3,14.0,13.29,14.0,90.33
2014-04-01,PLN,13.95,13.95,13.5,13.88,21.75
2014-04-02,PLN,13.86,13.86,13.26,13.73,25.59
2014-04-03,PLN,13.25,13.72,13.21,13.49,47.97
2014-04-04,PLN,13.2,13.68,13.2,13.68,65.64
2014-04-07,PLN,13.55,13.68,13.55,13.68,2.74
2014-04-08,PLN,13.3,13.67,13.08,13.45,24.28
2014-04-09,PLN,13.49,13.49,13.1,13.19,26.65
2014-04-10,PLN,13.09,13.48,13.09,13.3,15.73
2014-04-11,PLN,13.47,13.47,12.66,13.44,30.04
2014-04-14,PLN,13.44,13.44,13.0,13.4,5.53
2014-04-15,PLN,12.91,13.39,12.91,13.39,20.25
2014-04-16,PLN,12.95,13.38,12.91,13.17,28.27
2014-04-17,PLN,13.16,13.16,13.1,13.14,5.43
2014-04-22,PLN,13.14,13.14,12.99,13.14,1.33
2014-04-23,PLN,12.8,13.13,12.8,13.13,4.76
2014-04-24,PLN,13.13,13.13,12.7,13.09,10.75
2014-04-25,PLN,13.09,13.09,12.81,12.9,9.08
2014-04-28,PLN,12.9,12.9,12.51,12.54,9.65
