date,currency,open,max,min,close,volume
2014-01-14,PLN,10.01,10.06,9.91,10.02,40447.04
2014-01-15,PLN,10.05,10.05,9.96,10.02,27488.6
2014-01-16,PLN,10.02,10.19,9.92,10.08,19254.62
2014-01-17,PLN,10.08,10.13,9.85,10.12,20673.83
2014-01-20,PLN,10.12,10.23,10.06,10.23,7800.49
2014-01-21,PLN,10.27,10.59,10.14,10.39,21097.02
2014-01-22,PLN,10.43,10.58,10.01,10.2,33229.33
2014-01-23,PLN,10.2,10.2,9.78,9.78,25654.58
2014-01-24,PLN,9.75,9.87,9.6,9.6,16110.53
2014-01-27,PLN,9.52,9.78,9.52,9.7,26516.6
2014-01-28,PLN,9.75,10.29,9.74,10.25,48068.15
2014-01-29,PLN,10.29,10.35,10.02,10.11,20317.41
2014-01-30,PLN,10.04,10.33,10.02,10.33,29779.15
2014-01-31,PLN,10.33,10.64,10.21,10.5,53299.41
2014-02-03,PLN,10.45,10.65,10.35,10.49,28796.12
2014-02-04,PLN,10.35,10.48,10.32,10.39,24120.01
2014-02-05,PLN,10.35,10.46,10.31,10.32,51414.03
2014-02-06,PLN,10.3,10.49,10.22,10.47,46445.59
2014-02-07,PLN,10.38,10.84,10.3,10.75,72897.8
2014-02-10,PLN,10.78,11.08,10.6,10.99,34666.51
2014-02-11,PLN,11.01,11.59,11.0,11.3,81483.24
2014-02-12,PLN,10.6,10.84,10.29,10.8,188450.16
2014-02-13,PLN,10.57,10.65,9.93,10.1,46327.02
2014-02-14,PLN,10.05,10.2,9.65,9.95,51776.14
2014-02-17,PLN,9.95,10.18,9.83,10.09,17594.26
2014-02-18,PLN,10.17,10.38,10.08,10.3,18685.0
2014-02-19,PLN,10.28,10.45,10.13,10.3,23647.73
2014-02-20,PLN,10.24,10.42,10.15,10.33,24915.49
2014-02-21,PLN,10.44,10.44,10.22,10.32,24719.06
2014-02-24,PLN,10.29,10.4,10.2,10.3,18479.03
2014-02-25,PLN,10.3,10.34,10.16,10.18,21473.35
2014-02-26,PLN,10.18,10.23,9.91,10.09,22209.19
2014-02-27,PLN,10.09,10.24,9.95,10.06,18834.18
2014-02-28,PLN,10.15,10.3,10.02,10.11,21382.22
2014-03-03,PLN,9.91,10.18,9.85,10.0,44053.57
2014-03-04,PLN,10.0,10.21,9.96,10.06,31365.87
2014-03-05,PLN,10.05,10.19,9.87,9.9,26748.38
2014-03-06,PLN,9.9,10.17,9.83,10.11,24851.12
2014-03-07,PLN,10.12,10.31,10.05,10.18,57266.61
2014-03-10,PLN,10.06,10.25,10.06,10.15,33958.9
2014-03-11,PLN,10.15,10.39,10.06,10.39,25428.55
2014-03-12,PLN,10.33,10.53,10.25,10.25,29993.01
2014-03-13,PLN,10.26,10.54,10.2,10.52,59844.0
2014-03-14,PLN,10.35,10.69,10.32,10.69,68362.06
2014-03-17,PLN,10.62,10.69,10.44,10.69,21220.78
2014-03-18,PLN,10.54,10.8,10.53,10.8,55874.11
2014-03-19,PLN,10.8,10.94,10.4,10.51,28772.1
2014-03-20,PLN,10.5,10.79,10.36,10.75,46128.44
2014-03-21,PLN,10.66,10.89,10.57,10.57,47833.64
2014-03-24,PLN,10.52,10.63,10.41,10.41,21297.99
2014-03-25,PLN,10.48,10.49,10.36,10.4,37797.99
2014-03-26,PLN,10.4,10.45,10.16,10.32,30894.78
2014-03-27,PLN,10.3,10.39,10.25,10.35,33334.34
2014-03-28,PLN,10.37,10.43,10.22,10.3,19939.4
2014-03-31,PLN,10.39,10.42,10.27,10.35,23511.04
2014-04-01,PLN,10.38,10.39,10.18,10.3,31765.43
2014-04-02,PLN,10.36,10.42,10.26,10.33,43856.32
2014-04-03,PLN,10.28,10.32,10.14,10.2,15195.36
2014-04-04,PLN,10.18,10.24,10.0,10.19,17108.91
2014-04-07,PLN,10.17,10.54,10.15,10.5,36057.9
2014-04-08,PLN,10.5,10.55,10.35,10.5,25309.71
2014-04-09,PLN,10.45,10.5,10.32,10.5,20650.47
2014-04-10,PLN,10.5,10.59,10.38,10.38,28228.35
2014-04-11,PLN,10.39,10.51,10.29,10.5,12495.2
2014-04-14,PLN,10.5,10.6,10.37,10.6,18589.16
2014-04-15,PLN,10.58,10.58,10.36,10.5,14025.66
2014-04-16,PLN,10.45,10.49,10.19,10.24,17922.82
2014-04-17,PLN,10.22,10.32,10.07,10.32,12466.85
2014-04-22,PLN,10.32,10.35,10.18,10.2,8744.46
2014-04-23,PLN,10.26,10.3,10.06,10.06,17049.6
2014-04-24,PLN,10.09,10.15,10.03,10.15,19540.6
2014-04-25,PLN,10.15,10.21,9.87,9.87,22318.7
2014-04-28,PLN,9.99,10.08,9.91,10.0,11097.56
2014-04-29,PLN,9.99,10.18,9.93,9.93,15480.25
2014-04-30,PLN,10.06,10.4,9.96,10.34,34667.27
2014-05-02,PLN,10.24,10.49,10.24,10.35,9783.52
2014-05-05,PLN,10.3,10.41,10.23,10.24,10184.29
2014-05-06,PLN,10.25,10.39,10.25,10.38,8635.93
2014-05-07,PLN,10.34,10.46,10.11,10.37,23994.37
2014-05-08,PLN,10.3,10.4,10.16,10.16,14402.12
2014-05-09,PLN,10.29,10.33,10.14,10.25,15413.03
2014-05-12,PLN,10.25,10.45,10.2,10.3,9830.19
2014-05-13,PLN,10.35,10.43,10.31,10.35,9115.15
2014-05-14,PLN,10.34,10.38,10.21,10.27,13529.88
2014-05-15,PLN,10.3,10.38,10.18,10.23,13757.36
2014-05-16,PLN,10.26,10.44,10.19,10.44,16050.06
2014-05-19,PLN,10.4,10.79,10.38,10.7,20830.11
2014-05-20,PLN,10.68,10.77,10.49,10.68,13438.13
2014-05-21,PLN,10.69,10.75,10.5,10.55,20392.77
2014-05-22,PLN,10.6,10.68,10.35,10.5,33988.03
2014-05-23,PLN,10.54,10.57,10.36,10.4,18956.41
2014-05-26,PLN,10.47,10.48,10.26,10.33,14162.47
2014-05-27,PLN,10.31,10.39,10.2,10.35,15748.23
2014-05-28,PLN,10.38,10.43,10.28,10.35,8545.07
2014-05-29,PLN,10.31,10.45,10.31,10.45,6035.77
2014-05-30,PLN,10.42,10.45,10.28,10.45,26900.21
2014-06-02,PLN,10.45,10.51,10.37,10.5,12175.07
2014-06-03,PLN,10.54,10.58,10.44,10.54,18710.8
2014-06-04,PLN,10.45,10.6,10.43,10.48,22554.44
2014-06-05,PLN,10.58,10.67,10.49,10.57,16413.05
2014-06-06,PLN,10.64,10.64,10.49,10.64,11644.31
2014-06-09,PLN,10.66,10.68,10.52,10.57,9326.02
2014-06-10,PLN,10.57,10.67,10.54,10.57,18604.43
2014-06-11,PLN,10.65,10.66,10.42,10.5,46045.5
2014-06-12,PLN,10.55,10.55,10.4,10.41,12730.89
2014-06-13,PLN,10.48,10.5,10.29,10.4,21201.43
2014-06-16,PLN,10.39,10.4,10.26,10.3,13984.87
2014-06-17,PLN,10.37,10.4,10.22,10.29,31889.84
2014-06-18,PLN,10.34,10.37,10.24,10.29,55137.3
2014-06-20,PLN,10.35,10.5,10.29,10.35,73783.32
2014-06-23,PLN,10.37,10.53,10.35,10.5,48632.9
2014-06-24,PLN,10.09,10.1,9.95,9.97,26763.89
2014-06-25,PLN,9.95,9.99,9.61,9.8,29794.25
2014-06-26,PLN,9.9,9.9,9.63,9.79,10845.07
2014-06-27,PLN,9.7,9.8,9.65,9.7,13799.33
2014-06-30,PLN,9.8,9.83,9.31,9.7,33021.17
2014-07-01,PLN,9.63,9.7,9.57,9.67,29279.82
2014-07-02,PLN,9.7,9.74,9.33,9.55,23960.76
2014-07-03,PLN,9.45,9.59,9.2,9.59,26908.44
2014-07-04,PLN,9.6,9.6,9.37,9.37,14413.78
2014-07-07,PLN,9.33,9.55,9.24,9.4,11421.43
2014-07-08,PLN,9.43,9.57,9.41,9.45,23795.75
2014-07-09,PLN,9.53,9.53,9.28,9.32,7867.32
2014-07-10,PLN,9.5,9.5,9.29,9.45,33111.72
2014-07-11,PLN,9.44,9.66,9.44,9.58,15903.98
2014-07-14,PLN,9.67,9.67,9.46,9.65,21832.85
2014-07-15,PLN,9.55,9.6,9.46,9.53,11103.22
2014-07-16,PLN,9.5,9.6,9.47,9.53,21538.71
2014-07-17,PLN,9.55,9.58,9.42,9.5,28240.56
2014-07-18,PLN,9.43,9.6,9.43,9.55,7888.6
2014-07-21,PLN,9.62,9.64,9.55,9.59,10209.23
2014-07-22,PLN,9.54,9.65,9.46,9.46,9260.64
2014-07-23,PLN,9.53,9.66,9.49,9.63,17639.18
2014-07-24,PLN,9.66,9.84,9.6,9.8,12914.09
2014-07-25,PLN,9.82,10.04,9.82,9.91,54822.89
2014-07-28,PLN,9.91,10.17,9.91,10.16,93847.88
2014-07-29,PLN,10.13,10.16,10.07,10.11,30734.82
2014-07-30,PLN,10.05,10.06,9.79,9.96,14728.1
2014-07-31,PLN,9.97,10.3,9.78,10.3,27048.75
2014-08-01,PLN,10.16,10.45,10.16,10.37,39556.31
2014-08-04,PLN,10.36,10.4,10.19,10.25,21570.92
2014-08-05,PLN,10.21,10.3,9.95,10.07,20321.63
2014-08-06,PLN,9.95,10.27,9.91,10.2,66059.1
2014-08-07,PLN,10.28,10.28,10.09,10.12,38642.37
2014-08-08,PLN,10.05,10.06,9.9,9.98,18813.42
2014-08-11,PLN,10.02,10.02,9.76,9.93,11512.99
2014-08-12,PLN,9.85,9.98,9.76,9.91,52700.73
2014-08-13,PLN,9.99,10.09,9.89,10.07,58159.26
2014-08-14,PLN,10.14,10.15,10.02,10.15,48037.38
2014-08-18,PLN,10.14,10.3,10.1,10.28,25439.67
2014-08-19,PLN,10.3,10.44,10.01,10.43,34727.28
2014-08-20,PLN,10.41,10.66,10.34,10.66,48325.58
2014-08-21,PLN,10.66,10.93,10.66,10.88,42181.53
2014-08-22,PLN,10.95,10.95,10.74,10.89,25634.25
2014-08-25,PLN,10.94,10.94,10.81,10.94,15603.46
2014-08-26,PLN,10.85,10.97,10.81,10.93,30785.8
2014-08-27,PLN,10.93,10.93,10.78,10.89,23446.22
2014-08-28,PLN,10.76,10.88,10.67,10.8,20706.33
2014-08-29,PLN,10.75,10.86,10.57,10.74,33678.31
2014-09-01,PLN,10.79,10.81,10.65,10.75,10372.45
2014-09-02,PLN,10.8,10.95,10.64,10.88,17367.61
2014-09-03,PLN,10.8,10.95,10.78,10.94,35794.17
2014-09-04,PLN,10.99,10.99,10.75,10.88,20949.94
2014-09-05,PLN,10.72,10.87,10.68,10.78,25372.15
2014-09-08,PLN,10.85,11.08,10.73,10.99,25284.14
2014-09-09,PLN,10.99,11.19,10.89,11.19,38422.17
2014-09-10,PLN,11.13,11.3,11.13,11.3,59950.67
2014-09-11,PLN,11.34,11.48,11.24,11.25,41125.68
2014-09-12,PLN,11.2,11.4,11.14,11.4,14902.08
2014-09-15,PLN,11.36,11.39,11.18,11.34,16207.7
2014-09-16,PLN,11.33,11.34,11.15,11.34,27572.35
2014-09-17,PLN,11.35,11.35,11.13,11.3,31431.63
2014-09-18,PLN,11.18,11.35,11.18,11.35,9287.24
2014-09-19,PLN,11.35,11.98,11.3,11.89,86253.76
2014-09-22,PLN,11.72,11.95,11.7,11.7,18738.06
2014-09-23,PLN,11.71,12.13,11.71,11.86,38859.05
2014-09-24,PLN,11.84,12.0,11.41,11.52,35367.37
2014-09-25,PLN,11.46,11.75,11.42,11.47,22082.0
2014-09-26,PLN,11.45,11.55,11.23,11.31,21127.42
2014-09-29,PLN,11.2,11.6,11.2,11.41,34466.09
2014-09-30,PLN,11.39,11.82,11.39,11.65,59146.38
2014-10-01,PLN,11.69,11.87,11.41,11.5,26313.42
2014-10-02,PLN,11.5,11.71,11.23,11.71,18440.42
2014-10-03,PLN,11.68,11.89,11.48,11.68,37448.32
2014-10-06,PLN,11.75,11.75,11.25,11.25,47776.66
2014-10-07,PLN,11.27,11.32,11.11,11.11,29070.76
2014-10-08,PLN,11.03,11.18,10.71,10.71,53477.05
2014-10-09,PLN,10.84,11.0,10.64,10.7,48350.67
2014-10-10,PLN,10.65,10.81,10.43,10.43,32518.08
2014-10-13,PLN,10.44,10.55,9.95,10.05,32701.0
2014-10-14,PLN,10.0,10.25,9.76,10.0,209250.83
2014-10-15,PLN,10.02,10.11,9.75,9.88,127715.57
2014-10-16,PLN,9.9,10.0,9.72,9.73,56033.19
2014-10-17,PLN,9.8,10.09,9.76,10.09,135088.51
2014-10-20,PLN,10.18,10.18,10.0,10.05,38012.4
2014-10-21,PLN,10.02,10.08,9.85,9.9,44985.28
2014-10-22,PLN,9.95,9.97,9.83,9.95,47267.01
2014-10-23,PLN,9.91,10.25,9.81,10.21,87227.53
2014-10-24,PLN,10.2,10.28,10.15,10.2,22126.28
2014-10-27,PLN,10.27,10.27,10.1,10.27,18993.15
2014-10-28,PLN,10.26,10.28,10.15,10.17,36909.82
2014-10-29,PLN,10.19,10.22,10.1,10.22,26967.2
2014-10-30,PLN,10.2,10.24,10.09,10.17,50714.2
