date,currency,open,max,min,close,volume
1998-06-30,PLN,0.0,0.0,0.0,55.0,61639.6
1998-07-01,PLN,0.0,0.0,0.0,58.5,76218.01
1998-07-02,PLN,0.0,0.0,0.0,61.0,72533.27
1998-07-03,PLN,0.0,0.0,0.0,58.5,99446.49
1998-07-06,PLN,0.0,0.0,0.0,0.0,46179.78
1998-07-07,PLN,58.0,58.5,57.0,57.0,3357.5
1998-07-08,PLN,56.0,56.0,55.0,57.0,72662.1
1998-07-09,PLN,54.5,55.5,54.0,55.0,28925.93
1998-07-10,PLN,55.5,56.5,55.0,55.0,9968.53
1998-07-13,PLN,58.5,59.5,58.5,57.0,3493.19
1998-07-14,PLN,60.5,61.5,60.0,60.0,5041.5
1998-07-15,PLN,60.0,61.5,59.0,61.0,6869.5
1998-07-16,PLN,61.0,61.0,60.0,61.0,23155.48
1998-07-17,PLN,61.5,62.5,61.5,62.0,3447.8
1998-07-20,PLN,63.0,65.0,63.0,62.0,5419.54
1998-07-21,PLN,63.0,65.0,63.0,65.0,2798.9
1998-07-22,PLN,62.0,63.5,62.0,64.0,17974.14
1998-07-23,PLN,64.0,65.0,64.0,63.5,1948.0
1998-07-24,PLN,65.0,65.0,64.0,64.0,7720.19
1998-07-27,PLN,63.5,63.5,62.5,63.5,4247.39
1998-07-28,PLN,62.0,63.0,61.5,63.0,8848.98
1998-07-29,PLN,62.5,63.5,62.0,62.0,564.1
1998-07-30,PLN,63.5,64.0,63.5,64.0,7092.22
1998-07-31,PLN,62.0,63.0,62.0,62.5,689.9
1998-08-03,PLN,62.5,63.0,61.5,61.0,6733.18
1998-08-04,PLN,62.0,62.5,62.0,62.5,844.6
1998-08-05,PLN,61.0,61.0,60.0,60.0,14852.16
1998-08-06,PLN,61.0,62.0,60.5,61.0,7326.71
1998-08-07,PLN,62.0,62.0,61.5,61.0,865.0
1998-08-10,PLN,62.0,62.0,61.0,62.0,5067.26
1998-08-11,PLN,60.5,60.5,58.0,60.5,1477.8
1998-08-12,PLN,60.0,61.5,59.5,60.0,15098.76
1998-08-13,PLN,57.5,59.0,57.5,59.0,3928.93
1998-08-14,PLN,60.0,60.0,59.5,59.0,837.0
1998-08-17,PLN,60.0,60.5,60.0,59.0,6904.3
1998-08-18,PLN,62.0,62.0,61.0,60.5,493.8
1998-08-19,PLN,60.5,61.5,60.5,60.5,8254.26
1998-08-20,PLN,60.0,60.0,59.0,60.5,476.0
1998-08-21,PLN,58.5,60.0,58.0,59.5,8484.7
1998-08-24,PLN,59.0,60.5,59.0,59.0,6818.87
1998-08-25,PLN,59.0,59.5,59.0,60.0,3652.56
1998-08-26,PLN,59.0,59.5,59.0,59.0,9032.3
1998-08-27,PLN,58.0,58.5,57.0,58.0,27666.46
1998-08-28,PLN,51.5,54.0,51.5,52.5,2428.2
1998-08-31,PLN,51.5,52.0,50.5,51.0,922.4
1998-09-01,PLN,45.1,46.4,43.2,45.9,5621.46
1998-09-02,PLN,51.5,51.5,49.0,49.5,7729.23
1998-09-03,PLN,50.0,51.0,49.0,51.0,715.14
1998-09-04,PLN,50.0,51.5,50.0,50.0,1082.4
1998-09-07,PLN,53.5,54.0,52.0,51.5,4016.07
1998-09-08,PLN,52.0,53.5,51.5,51.5,9835.6
1998-09-09,PLN,52.5,52.5,52.0,53.0,1939.7
1998-09-10,PLN,51.5,52.0,51.0,51.0,7468.34
1998-09-11,PLN,49.5,50.0,49.2,49.5,831.36
1998-09-14,PLN,51.0,51.0,50.0,50.0,8744.9
1998-09-15,PLN,49.5,49.6,49.4,49.4,3771.92
1998-09-16,PLN,49.9,49.9,49.5,49.4,8076.11
1998-09-17,PLN,48.5,48.9,47.7,48.5,2507.06
1998-09-18,PLN,47.7,48.8,47.7,47.7,2057.49
1998-09-21,PLN,46.8,47.0,46.0,47.0,206.02
