date,currency,open,max,min,close,volume
2009-12-15,PLN,24.72,25.07,24.56,24.94,102320.43
2009-12-16,PLN,24.98,25.74,24.98,25.7,284072.6
2009-12-17,PLN,25.7,25.8,25.07,25.3,444452.29
2009-12-18,PLN,25.0,25.3,24.93,25.25,177549.08
2009-12-21,PLN,25.25,25.26,24.98,25.03,56445.01
2009-12-22,PLN,25.07,25.15,24.8,24.95,52138.85
2009-12-23,PLN,24.9,24.95,24.51,24.51,47603.53
2009-12-28,PLN,24.51,24.6,24.16,24.26,66050.95
2009-12-29,PLN,24.3,24.59,24.25,24.49,37259.67
2009-12-30,PLN,24.5,24.5,24.15,24.25,40383.39
2009-12-31,PLN,24.31,24.5,24.21,24.5,22277.02
2010-01-04,PLN,24.45,24.7,24.25,24.34,39940.0
2010-01-05,PLN,24.48,24.48,24.19,24.34,106931.83
2010-01-06,PLN,24.38,24.38,24.2,24.27,68013.61
2010-01-07,PLN,24.25,24.25,23.87,23.87,73618.43
2010-01-08,PLN,24.0,24.2,23.85,23.89,44853.98
2010-01-11,PLN,24.24,24.24,23.9,23.9,94343.55
2010-01-12,PLN,24.0,24.01,23.25,23.4,94371.16
2010-01-13,PLN,23.39,23.67,23.15,23.5,91567.66
2010-01-14,PLN,23.53,23.65,23.19,23.25,41076.75
2010-01-15,PLN,23.28,23.38,23.15,23.15,53408.86
2010-01-18,PLN,23.33,23.33,23.05,23.3,55153.38
2010-01-19,PLN,23.32,23.6,23.26,23.6,46583.05
2010-01-20,PLN,23.66,24.1,23.6,24.04,89325.84
2010-01-21,PLN,24.04,24.1,23.81,24.0,34365.33
2010-01-22,PLN,23.86,23.87,23.45,23.59,30557.83
2010-01-25,PLN,23.35,23.65,23.3,23.43,21025.47
2010-01-26,PLN,23.3,23.3,23.11,23.22,22211.09
2010-01-27,PLN,23.25,23.71,23.14,23.64,118170.4
2010-01-28,PLN,23.75,23.9,23.5,23.68,66879.79
2010-01-29,PLN,23.44,23.6,23.3,23.6,42176.44
2010-02-01,PLN,23.48,23.48,23.33,23.35,11196.35
2010-02-02,PLN,23.5,23.5,23.2,23.25,29187.86
2010-02-03,PLN,23.25,23.3,22.9,23.05,67304.72
2010-02-04,PLN,23.0,23.16,22.85,22.95,124802.82
2010-02-05,PLN,22.7,22.7,22.19,22.35,177423.35
2010-02-08,PLN,22.31,22.45,21.35,21.7,120747.27
2010-02-09,PLN,21.6,21.94,21.6,21.9,69920.5
2010-02-10,PLN,22.0,22.4,21.72,21.77,35464.81
2010-02-11,PLN,21.56,21.68,20.93,21.0,95341.87
2010-02-12,PLN,21.8,22.04,21.4,21.8,57225.1
2010-02-15,PLN,21.99,22.12,21.8,22.04,24887.86
2010-02-16,PLN,22.17,22.17,21.54,21.7,25565.15
2010-02-17,PLN,22.25,22.25,21.45,21.55,19289.17
2010-02-18,PLN,21.73,21.95,21.6,21.8,20757.6
2010-02-19,PLN,21.75,22.1,21.57,22.07,18791.82
2010-02-22,PLN,22.3,22.47,22.16,22.33,28347.06
2010-02-23,PLN,22.25,22.27,22.01,22.06,16628.15
2010-02-24,PLN,22.01,22.18,21.91,22.18,16186.94
2010-02-25,PLN,22.15,22.18,21.92,21.95,11634.71
2010-02-26,PLN,22.05,22.14,21.84,21.9,11802.22
2010-03-01,PLN,22.0,22.0,21.65,21.79,11703.23
2010-03-02,PLN,21.79,21.98,21.7,21.8,45126.3
2010-03-03,PLN,21.72,22.25,21.72,22.2,25534.1
2010-03-04,PLN,22.19,22.7,22.15,22.35,52273.91
2010-03-05,PLN,22.65,22.9,22.55,22.8,54704.63
2010-03-08,PLN,23.0,23.0,22.71,22.9,42796.19
2010-03-09,PLN,22.89,22.91,22.52,22.91,40937.57
2010-03-10,PLN,22.81,23.45,22.8,23.4,56106.82
2010-03-11,PLN,23.4,23.93,23.3,23.7,64268.25
2010-03-12,PLN,23.8,23.92,23.52,23.73,56365.84
2010-03-15,PLN,23.57,23.95,23.56,23.9,32455.56
2010-03-16,PLN,23.76,24.02,23.76,23.9,91525.5
2010-03-17,PLN,23.84,23.98,23.06,23.33,79047.65
2010-03-18,PLN,23.49,23.5,23.25,23.4,53786.21
2010-03-19,PLN,23.6,23.75,23.27,23.6,519230.57
2010-03-22,PLN,23.3,23.3,22.89,23.1,75999.68
2010-03-23,PLN,23.0,23.39,22.95,23.18,45521.54
2010-03-24,PLN,23.35,23.35,22.7,22.85,39676.33
2010-03-25,PLN,22.95,23.3,22.85,23.2,113355.71
2010-03-26,PLN,23.21,23.39,22.79,22.8,58083.92
2010-03-29,PLN,22.86,23.05,22.76,23.0,48197.65
2010-03-30,PLN,23.19,23.35,22.88,23.23,52350.23
2010-03-31,PLN,23.18,23.36,22.93,23.1,49349.57
2010-04-01,PLN,23.2,23.3,23.05,23.3,26167.33
2010-04-06,PLN,23.28,23.35,23.1,23.3,40674.34
2010-04-07,PLN,23.25,23.33,23.06,23.06,116396.15
2010-04-08,PLN,23.05,23.2,22.85,22.85,31822.0
2010-04-09,PLN,23.0,23.14,22.81,22.81,41616.12
2010-04-12,PLN,22.6,23.0,22.58,22.95,54269.43
2010-04-13,PLN,22.85,22.9,22.41,22.64,167524.21
2010-04-14,PLN,22.64,22.64,22.12,22.16,85212.17
2010-04-15,PLN,22.2,22.21,21.84,21.9,56767.57
2010-04-16,PLN,21.9,22.1,21.86,21.99,31707.75
2010-04-19,PLN,21.9,21.94,21.68,21.82,52323.12
2010-04-20,PLN,21.9,21.98,21.66,21.81,33616.8
