date,currency,open,max,min,close,volume
2005-10-20,PLN,3.6,3.61,3.46,3.48,45970.54
2005-10-21,PLN,3.46,3.47,3.42,3.43,83051.21
2005-10-24,PLN,3.39,3.42,3.32,3.41,110210.78
2005-10-25,PLN,3.44,3.62,3.43,3.62,66864.88
2005-10-26,PLN,3.64,3.71,3.54,3.65,92935.33
2005-10-27,PLN,3.53,3.59,3.51,3.55,32726.08
2005-10-28,PLN,3.51,3.62,3.49,3.61,51476.87
2005-10-31,PLN,3.64,3.64,3.6,3.61,9721.93
2005-11-02,PLN,3.61,3.68,3.61,3.68,39240.44
2005-11-03,PLN,3.69,3.7,3.53,3.54,65293.22
2005-11-04,PLN,3.57,3.58,3.5,3.51,34345.79
2005-11-07,PLN,3.51,3.51,3.38,3.4,47560.96
2005-11-08,PLN,3.44,3.47,3.42,3.42,34508.67
2005-11-09,PLN,3.44,3.45,3.41,3.42,27774.86
2005-11-10,PLN,3.44,3.45,3.35,3.4,33190.49
2005-11-14,PLN,3.43,3.43,3.33,3.35,28662.85
2005-11-15,PLN,3.36,3.4,3.33,3.39,24594.88
2005-11-16,PLN,3.37,3.37,3.21,3.24,128651.39
2005-11-17,PLN,3.23,3.34,3.13,3.33,93520.98
2005-11-18,PLN,3.37,3.39,3.32,3.37,51931.88
2005-11-21,PLN,3.39,3.39,3.35,3.37,25060.3
2005-11-22,PLN,3.38,3.47,3.38,3.4,62248.37
2005-11-23,PLN,3.45,3.47,3.36,3.4,59562.0
2005-11-24,PLN,3.38,3.44,3.3,3.34,71862.78
2005-11-25,PLN,3.31,3.38,3.29,3.3,61841.66
2005-11-28,PLN,3.21,3.28,3.21,3.25,55175.45
2005-11-29,PLN,3.23,3.41,3.22,3.4,105793.16
2005-11-30,PLN,3.44,3.5,3.42,3.48,65284.49
2005-12-01,PLN,3.5,3.5,3.46,3.48,43989.11
2005-12-02,PLN,3.45,3.45,3.35,3.36,68492.95
2005-12-05,PLN,3.36,3.39,3.33,3.36,48384.62
2005-12-06,PLN,3.36,3.36,3.3,3.3,26169.91
2005-12-07,PLN,3.33,3.4,3.31,3.35,38164.31
2005-12-08,PLN,3.35,3.39,3.34,3.36,43137.67
2005-12-09,PLN,3.38,3.39,3.36,3.36,16447.24
2005-12-12,PLN,3.38,3.38,3.36,3.37,16174.88
2005-12-13,PLN,3.37,3.39,3.36,3.39,19215.33
2005-12-14,PLN,3.39,3.48,3.39,3.48,67604.96
2005-12-15,PLN,3.49,3.55,3.47,3.52,76537.28
2005-12-16,PLN,3.55,3.55,3.43,3.54,60802.91
2005-12-19,PLN,3.54,3.56,3.51,3.54,30537.46
2005-12-20,PLN,3.51,3.61,3.51,3.56,85298.08
2005-12-21,PLN,3.58,3.59,3.56,3.58,43884.3
2005-12-22,PLN,3.58,3.59,3.54,3.55,21491.61
2005-12-23,PLN,3.54,3.58,3.54,3.56,27944.66
2005-12-27,PLN,3.56,3.57,3.52,3.54,22529.96
2005-12-28,PLN,3.53,3.54,3.47,3.49,22554.82
2005-12-29,PLN,3.48,3.5,3.46,3.49,19123.32
2005-12-30,PLN,3.49,3.5,3.46,3.47,16248.97
2006-01-02,PLN,3.43,3.49,3.4,3.47,50922.71
2006-01-03,PLN,3.5,3.55,3.49,3.53,65999.24
2006-01-04,PLN,3.56,3.58,3.54,3.56,33506.88
2006-01-05,PLN,3.58,3.58,3.54,3.54,54842.09
2006-01-06,PLN,3.5,3.52,3.48,3.49,57073.69
2006-01-09,PLN,3.52,3.54,3.48,3.48,46525.34
2006-01-10,PLN,3.46,3.46,3.42,3.43,32985.78
2006-01-11,PLN,3.42,3.46,3.42,3.44,37816.59
2006-01-12,PLN,3.45,3.46,3.43,3.44,25813.84
2006-01-13,PLN,3.43,3.45,3.43,3.44,24759.18
2006-01-16,PLN,3.44,3.45,3.42,3.44,42659.77
2006-01-17,PLN,3.43,3.44,3.42,3.44,35241.07
2006-01-18,PLN,3.41,3.42,3.41,3.41,17874.16
2006-01-19,PLN,3.41,3.45,3.4,3.44,31850.52
2006-01-20,PLN,3.45,3.55,3.44,3.51,39749.04
2006-01-23,PLN,3.49,3.49,3.46,3.48,27242.79
2006-01-24,PLN,3.49,3.53,3.46,3.49,30230.43
2006-01-25,PLN,3.51,3.6,3.5,3.6,124208.53
2006-01-26,PLN,3.62,3.68,3.56,3.58,56791.59
2006-01-27,PLN,3.59,3.6,3.53,3.56,18823.42
2006-01-30,PLN,3.53,3.53,3.47,3.5,17175.77
2006-01-31,PLN,3.48,3.5,3.36,3.4,27993.67
