date,currency,open,max,min,close,volume
1999-11-26,PLN,21.8,22.4,21.4,22.2,309357.18
1999-11-29,PLN,21.9,22.1,21.6,22.0,64802.38
1999-11-30,PLN,22.2,22.3,21.9,21.9,56934.88
1999-12-01,PLN,22.2,22.8,22.1,22.3,51794.72
1999-12-02,PLN,23.2,23.7,22.9,23.0,62179.21
1999-12-03,PLN,23.0,23.6,23.0,23.2,42354.44
1999-12-06,PLN,24.0,24.5,24.0,23.7,69975.84
1999-12-07,PLN,24.2,24.4,24.0,24.3,47847.38
1999-12-08,PLN,24.5,24.6,24.1,24.0,94306.14
1999-12-09,PLN,24.0,24.1,23.6,24.2,55882.16
1999-12-10,PLN,24.1,24.1,23.8,24.2,39231.2
1999-12-13,PLN,23.9,24.0,23.6,23.8,32986.94
1999-12-14,PLN,24.2,24.4,24.1,24.0,56490.82
1999-12-15,PLN,24.2,24.2,24.0,24.3,24749.74
1999-12-16,PLN,23.9,23.9,23.7,24.0,28408.84
1999-12-17,PLN,24.0,24.0,23.7,23.8,23963.82
1999-12-20,PLN,24.0,24.3,23.9,24.0,57544.7
1999-12-21,PLN,24.2,24.8,24.2,24.1,40987.46
1999-12-22,PLN,25.6,25.8,25.4,25.0,52052.22
1999-12-23,PLN,26.0,26.0,25.5,25.7,26151.5
1999-12-27,PLN,26.0,26.3,25.7,25.7,40161.82
1999-12-28,PLN,25.4,25.5,25.1,25.7,24094.06
1999-12-29,PLN,25.3,26.1,25.2,26.1,41596.78
2000-01-03,PLN,26.9,27.0,26.2,26.7,39414.08
2000-01-04,PLN,25.5,26.0,25.4,25.6,43354.52
2000-01-05,PLN,25.2,25.5,25.0,25.3,57563.96
2000-01-06,PLN,25.1,25.9,25.1,25.8,37650.06
2000-01-07,PLN,26.8,27.3,26.6,27.0,23835.66
2000-01-10,PLN,27.8,28.4,27.3,27.3,49879.39
2000-01-11,PLN,26.4,27.1,26.3,26.8,37461.52
2000-01-12,PLN,26.4,26.7,26.3,26.7,31249.62
2000-01-13,PLN,27.3,27.7,27.2,27.5,67872.0
2000-01-14,PLN,27.3,27.9,27.0,27.3,83364.3
2000-01-17,PLN,27.0,27.3,27.0,27.1,35693.74
2000-01-18,PLN,27.3,27.3,26.3,26.5,32004.25
2000-01-19,PLN,26.3,26.7,26.1,26.6,31819.4
2000-01-20,PLN,26.6,27.1,26.4,27.0,42644.17
2000-01-21,PLN,27.1,27.3,27.0,27.2,43087.15
2000-01-24,PLN,26.6,26.6,26.0,26.4,25544.85
2000-01-25,PLN,25.5,25.5,24.5,25.4,39442.4
2000-01-26,PLN,25.2,25.6,25.1,25.4,30770.83
2000-01-27,PLN,25.3,25.8,25.3,25.8,9544.65
2000-01-28,PLN,26.1,26.4,25.2,25.5,25533.6
2000-01-31,PLN,25.1,25.2,25.0,25.1,18747.15
2000-02-01,PLN,25.9,26.1,24.7,24.8,9273.29
2000-02-02,PLN,24.7,25.1,24.6,25.0,34546.8
2000-02-03,PLN,25.7,26.1,25.2,25.9,53296.8
2000-02-04,PLN,26.5,26.5,25.4,25.6,27180.46
2000-02-07,PLN,25.2,25.7,25.1,25.3,25150.55
2000-02-08,PLN,25.2,25.2,24.8,25.0,40256.95
2000-02-09,PLN,25.3,25.3,24.4,24.5,66829.74
2000-02-10,PLN,24.2,24.5,24.0,24.3,26352.25
2000-02-11,PLN,23.5,23.9,23.1,23.3,64558.95
2000-02-14,PLN,23.0,24.2,22.8,24.0,41147.75
2000-02-15,PLN,24.3,24.6,24.1,24.2,61354.35
2000-02-16,PLN,24.0,24.0,23.3,23.6,31813.5
2000-02-17,PLN,23.3,24.5,23.3,24.5,41911.05
2000-02-18,PLN,24.6,25.1,24.5,24.7,64438.35
2000-02-21,PLN,24.0,24.3,23.9,24.2,24007.65
2000-02-22,PLN,24.6,24.8,23.7,23.7,26189.6
2000-02-23,PLN,23.3,24.1,23.1,23.5,46125.3
2000-02-24,PLN,23.3,23.7,22.8,23.0,35811.05
2000-02-25,PLN,22.4,23.0,22.4,22.7,19611.87
2000-02-28,PLN,22.4,22.7,21.7,22.3,34360.05
2000-02-29,PLN,22.6,22.6,22.2,22.4,15822.25
2000-03-01,PLN,22.5,22.7,22.2,22.5,24980.72
2000-03-02,PLN,23.2,23.4,22.8,23.2,32472.45
2000-03-03,PLN,23.5,23.7,23.2,23.7,9363.43
2000-03-06,PLN,24.2,24.2,23.4,23.5,19200.58
2000-03-07,PLN,23.1,23.5,23.0,23.3,6170.63
2000-03-08,PLN,22.9,23.1,22.7,22.9,16058.85
2000-03-09,PLN,23.0,23.2,22.5,22.5,8932.23
2000-03-10,PLN,23.0,23.0,22.7,22.8,16303.72
2000-03-13,PLN,22.6,22.9,21.9,22.2,29714.8
2000-03-14,PLN,22.8,23.2,22.2,23.2,53423.37
2000-03-15,PLN,22.5,22.9,22.4,22.5,24596.55
2000-03-16,PLN,22.8,23.3,22.7,23.0,26153.6
2000-03-17,PLN,23.5,23.5,23.2,23.3,50953.31
2000-03-20,PLN,23.1,23.2,23.0,23.1,14995.09
2000-03-21,PLN,22.9,23.2,22.7,22.9,7864.16
2000-03-22,PLN,23.5,24.3,23.5,24.0,44733.95
2000-03-23,PLN,24.3,24.4,24.0,24.2,33927.94
2000-03-24,PLN,24.4,24.5,24.1,24.3,32343.52
2000-03-27,PLN,24.0,24.1,23.8,23.8,13415.2
2000-03-28,PLN,23.7,24.0,23.7,24.0,20821.05
2000-03-29,PLN,23.8,24.0,23.6,23.8,19668.82
2000-03-30,PLN,23.7,23.7,23.1,23.3,6804.04
2000-03-31,PLN,23.3,23.3,23.0,23.3,7074.29
2000-04-03,PLN,23.0,23.0,22.6,22.6,5399.97
2000-04-04,PLN,22.6,22.7,22.3,22.5,18568.28
2000-04-05,PLN,22.6,22.6,21.9,22.2,23341.94
2000-04-06,PLN,22.5,22.6,22.2,22.5,6367.41
2000-04-07,PLN,22.6,22.6,22.1,22.5,7964.34
2000-04-10,PLN,22.9,23.1,22.8,23.1,6437.98
2000-04-11,PLN,22.7,22.9,22.7,22.9,8612.16
2000-04-12,PLN,22.9,23.5,22.9,23.4,9586.64
2000-04-13,PLN,23.3,23.5,23.2,23.4,6871.65
2000-04-14,PLN,23.4,23.6,23.2,23.3,9152.02
2000-04-17,PLN,21.8,22.3,21.6,22.1,32185.25
2000-04-18,PLN,22.2,22.3,22.0,22.2,6496.15
2000-04-19,PLN,22.2,22.4,22.0,22.0,19266.54
2000-04-20,PLN,22.0,22.4,22.0,22.3,5352.44
2000-04-25,PLN,22.0,22.5,22.0,22.5,9167.76
2000-04-26,PLN,22.5,22.6,22.2,22.2,7512.7
2000-04-27,PLN,22.1,22.4,22.0,22.2,8221.68
2000-04-28,PLN,22.4,22.5,22.0,22.4,6169.72
2000-05-04,PLN,22.4,22.4,22.0,22.0,5985.46
2000-05-05,PLN,22.1,22.1,21.9,22.0,3453.15
2000-05-08,PLN,21.9,22.0,21.7,21.9,4255.28
2000-05-09,PLN,22.0,22.2,21.8,22.0,9078.43
2000-05-10,PLN,22.1,22.3,22.1,22.3,7364.59
2000-05-11,PLN,22.3,22.7,22.2,22.6,7316.67
2000-05-12,PLN,22.3,22.4,22.1,22.2,6416.94
2000-05-15,PLN,22.0,22.0,21.8,22.0,4766.14
2000-05-16,PLN,22.0,22.7,22.0,22.5,6597.0
2000-05-17,PLN,22.2,22.4,22.0,22.4,7876.09
2000-05-18,PLN,22.1,22.2,21.8,21.9,7468.0
2000-05-19,PLN,21.8,21.9,21.6,21.6,14478.48
2000-05-22,PLN,21.7,21.7,21.2,21.2,5930.76
2000-05-23,PLN,20.9,21.0,20.5,20.8,6716.72
2000-05-24,PLN,20.4,20.5,20.2,20.3,9909.3
2000-05-25,PLN,20.5,20.7,20.1,20.7,7041.56
2000-05-26,PLN,20.5,20.5,20.2,20.3,14740.86
2000-05-29,PLN,20.5,20.7,20.3,20.5,8043.38
2000-05-30,PLN,20.9,21.0,20.6,20.8,5717.84
2000-05-31,PLN,20.8,21.0,20.7,20.8,7043.28
2000-06-01,PLN,21.2,21.3,20.9,21.1,9115.14
2000-06-02,PLN,20.9,21.4,20.8,21.2,6227.08
2000-06-05,PLN,21.2,22.4,21.2,22.4,15017.94
2000-06-06,PLN,21.8,21.8,21.2,21.2,8067.56
2000-06-07,PLN,21.6,22.2,21.4,22.0,12427.08
2000-06-08,PLN,22.0,22.2,21.7,21.7,9862.82
2000-06-09,PLN,21.8,21.9,21.6,21.7,9564.1
2000-06-12,PLN,21.5,21.6,21.3,21.5,4606.68
2000-06-13,PLN,21.6,21.8,21.4,21.7,4253.99
2000-06-14,PLN,22.1,22.7,21.9,22.3,45416.3
2000-06-15,PLN,22.1,22.2,22.0,22.1,9126.34
2000-06-16,PLN,21.9,21.9,21.6,21.7,7801.51
2000-06-19,PLN,21.5,21.8,21.4,21.7,11629.26
2000-06-20,PLN,21.9,22.1,21.8,22.0,5945.89
2000-06-21,PLN,21.9,21.9,21.7,21.8,5775.44
2000-06-23,PLN,21.5,21.9,21.5,21.9,5279.54
2000-06-26,PLN,21.5,21.6,21.1,21.4,7703.06
2000-06-27,PLN,21.3,21.4,21.1,21.1,4414.22
2000-06-28,PLN,21.3,21.3,21.0,21.1,5047.29
2000-06-29,PLN,21.2,21.6,21.0,21.1,32035.54
2000-06-30,PLN,21.3,21.3,20.6,20.7,23656.16
2000-07-03,PLN,21.0,21.0,20.7,20.8,24101.98
2000-07-04,PLN,20.8,20.9,20.7,20.8,36557.56
2000-07-05,PLN,20.9,21.1,20.8,21.0,27043.22
2000-07-06,PLN,20.8,20.8,20.6,20.7,21283.66
2000-07-07,PLN,20.7,20.8,20.5,20.7,64833.71
2000-07-10,PLN,20.8,20.8,20.5,20.6,30733.52
2000-07-11,PLN,20.5,20.5,20.1,20.2,34735.58
2000-07-12,PLN,20.4,20.5,20.3,20.4,23648.83
2000-07-13,PLN,20.5,21.1,20.5,20.8,43480.5
2000-07-14,PLN,20.9,21.0,20.7,20.8,29158.28
2000-07-17,PLN,21.0,21.2,20.9,21.2,44582.41
2000-07-18,PLN,21.6,22.0,21.6,21.8,37769.01
2000-07-19,PLN,22.1,22.2,21.8,21.9,23485.08
2000-07-20,PLN,21.5,21.8,21.4,21.6,21916.12
2000-07-21,PLN,21.7,21.8,21.6,21.6,6309.84
2000-07-24,PLN,21.6,21.7,21.5,21.6,5559.51
2000-07-25,PLN,21.5,21.8,21.5,21.8,21746.02
2000-07-26,PLN,21.8,21.8,21.6,21.7,17799.32
2000-07-27,PLN,21.3,21.5,21.1,21.2,8787.18
2000-07-28,PLN,21.2,21.4,21.0,21.1,8660.52
2000-07-31,PLN,20.9,20.9,20.5,20.8,22680.64
2000-08-01,PLN,20.5,20.6,20.2,20.3,5583.45
2000-08-02,PLN,20.6,20.8,20.6,20.7,13339.1
2000-08-03,PLN,20.7,20.9,20.5,20.7,8777.35
2000-08-04,PLN,20.9,20.9,20.6,20.7,6457.82
2000-08-07,PLN,20.6,20.6,20.4,20.5,6122.6
2000-08-08,PLN,20.5,20.6,20.4,20.5,8327.59
2000-08-09,PLN,20.6,20.8,20.6,20.6,9808.72
2000-08-10,PLN,20.6,20.6,20.4,20.6,5014.22
2000-08-11,PLN,20.4,20.5,20.3,20.3,8804.46
2000-08-14,PLN,20.2,20.4,20.2,20.3,4367.24
2000-08-16,PLN,20.4,20.6,20.4,20.5,9918.24
2000-08-17,PLN,20.3,20.3,20.0,20.1,9416.36
2000-08-18,PLN,19.6,19.85,19.2,19.75,5756.56
2000-08-21,PLN,19.6,19.7,19.55,19.6,13243.6
2000-08-22,PLN,19.7,19.7,19.6,19.65,9533.6
2000-08-23,PLN,19.8,19.8,19.6,19.7,6585.4
2000-08-24,PLN,19.75,20.2,19.75,20.1,4744.27
2000-08-25,PLN,20.4,21.0,20.4,20.9,4687.73
2000-08-28,PLN,20.4,20.4,20.1,20.2,8595.65
2000-08-29,PLN,20.0,20.1,19.9,20.1,7619.15
2000-08-30,PLN,20.0,20.8,20.0,20.3,18512.68
2000-08-31,PLN,20.5,20.6,20.3,20.3,8982.75
2000-09-01,PLN,20.3,20.5,20.1,20.4,7363.79
2000-09-04,PLN,20.6,20.6,20.4,20.4,16281.55
2000-09-05,PLN,20.9,21.0,20.5,20.7,38072.9
2000-09-06,PLN,20.7,20.7,20.4,20.6,6824.32
2000-09-07,PLN,20.5,20.5,20.2,20.3,4005.8
2000-09-08,PLN,20.0,20.1,19.95,20.1,8307.63
2000-09-11,PLN,19.8,19.95,19.7,19.8,8687.76
2000-09-12,PLN,19.8,20.4,19.8,20.2,3960.09
2000-09-13,PLN,20.3,20.5,19.95,20.0,8718.42
2000-09-14,PLN,19.95,20.4,19.85,20.4,5757.81
2000-09-15,PLN,20.2,20.2,20.0,20.1,7674.98
2000-09-18,PLN,20.0,20.2,19.95,20.1,7950.81
2000-09-19,PLN,19.9,19.9,19.6,19.65,16131.74
2000-09-20,PLN,19.55,19.65,19.4,19.65,9546.38
2000-09-21,PLN,19.3,19.3,18.8,18.9,27807.98
2000-09-22,PLN,18.4,18.6,18.2,18.3,12174.0
2000-09-25,PLN,18.5,18.7,18.35,18.45,6250.27
2000-09-26,PLN,18.3,18.3,17.9,17.9,8048.12
2000-09-27,PLN,17.8,17.9,17.5,17.65,12858.28
2000-09-28,PLN,17.4,17.65,17.15,17.6,6461.95
2000-09-29,PLN,17.9,18.15,17.85,18.0,24106.54
2000-10-02,PLN,18.0,18.0,17.7,17.75,5654.48
2000-10-03,PLN,17.45,17.65,17.25,17.65,6956.45
2000-10-04,PLN,17.5,17.5,17.25,17.3,4619.84
2000-10-05,PLN,17.55,17.75,17.55,17.65,4866.12
2000-10-06,PLN,17.6,17.75,17.6,17.6,7355.02
2000-10-09,PLN,17.45,17.45,17.15,17.15,7832.38
2000-10-10,PLN,17.15,17.25,16.95,17.05,7459.5
2000-10-11,PLN,16.6,16.6,16.05,16.6,12525.45
2000-10-12,PLN,16.7,16.9,16.5,16.5,8311.25
2000-10-13,PLN,15.45,15.7,15.35,15.65,21377.69
2000-10-16,PLN,16.2,16.65,16.1,16.45,10688.7
2000-10-17,PLN,16.7,17.25,16.5,16.95,25141.75
2000-10-18,PLN,17.0,17.05,16.0,16.6,57444.74
2000-10-19,PLN,17.85,17.85,17.4,17.5,14472.81
2000-10-20,PLN,17.75,17.95,17.65,17.9,14068.37
2000-10-23,PLN,17.7,17.95,17.65,17.8,19325.81
2000-10-24,PLN,18.2,18.35,18.0,18.05,9496.15
2000-10-25,PLN,18.7,18.7,18.1,18.2,30002.6
2000-10-26,PLN,18.25,18.25,17.8,17.9,9816.7
2000-10-27,PLN,17.7,18.05,17.7,17.9,6571.96
2000-10-30,PLN,17.7,17.7,17.45,17.65,8499.29
2000-10-31,PLN,17.8,18.25,17.75,18.15,7951.42
2000-11-02,PLN,18.45,18.8,18.4,18.8,21982.85
2000-11-03,PLN,19.3,19.3,18.9,18.9,27000.22
2000-11-06,PLN,19.2,19.65,19.2,19.6,7487.89
2000-11-07,PLN,19.5,19.95,19.4,19.7,29079.54
2000-11-08,PLN,19.9,19.9,19.55,19.6,9036.72
2000-11-09,PLN,19.2,19.25,18.8,19.0,20118.38
2000-11-10,PLN,18.8,18.8,18.6,18.7,7777.42
2000-11-13,PLN,18.3,18.5,18.25,18.5,27138.77
2000-11-14,PLN,18.75,19.1,18.75,19.05,9196.04
2000-11-15,PLN,18.9,19.3,18.85,19.2,10683.39
2000-11-16,PLN,19.1,19.5,19.1,19.5,9332.65
2000-11-17,PLN,19.2,19.9,19.2,19.9,33236.17
2000-11-20,PLN,20.0,20.6,19.85,20.1,46132.46
2000-11-21,PLN,20.1,20.5,20.1,20.3,32180.14
