date,currency,open,max,min,close,volume
2004-11-10,PLN,23.2,24.6,23.2,24.5,2780400.59
2004-11-12,PLN,24.5,25.8,24.5,24.7,1049560.85
2004-11-15,PLN,24.5,24.7,24.1,24.6,425136.54
2004-11-16,PLN,24.5,24.6,24.4,24.5,193242.52
2004-11-17,PLN,24.5,24.6,24.3,24.5,159508.58
2004-11-18,PLN,24.5,24.6,24.4,24.5,88768.27
2004-11-19,PLN,24.6,24.6,24.3,24.3,147739.52
2004-11-22,PLN,24.2,24.3,23.8,24.1,178136.14
2004-11-23,PLN,24.0,24.1,23.8,24.0,171372.19
2004-11-24,PLN,24.0,24.0,23.8,24.0,153226.7
2004-11-25,PLN,24.0,24.7,24.0,24.7,138174.28
2004-11-26,PLN,24.6,24.7,24.4,24.7,52819.42
2004-11-29,PLN,24.6,24.8,24.5,24.8,113178.33
2004-11-30,PLN,24.8,25.1,24.7,25.0,250612.63
2004-12-01,PLN,24.7,25.2,24.6,25.2,124228.02
2004-12-02,PLN,25.1,25.6,25.1,25.5,137252.39
2004-12-03,PLN,25.5,25.6,25.3,25.6,138628.45
2004-12-06,PLN,25.4,25.5,25.1,25.4,58306.42
2004-12-07,PLN,25.3,25.9,25.3,25.9,142380.78
2004-12-08,PLN,25.6,25.8,25.5,25.7,64486.81
2004-12-09,PLN,25.5,25.6,25.3,25.4,43142.29
2004-12-10,PLN,25.3,25.7,25.3,25.5,121717.33
2004-12-13,PLN,25.4,25.5,25.0,25.2,49755.68
2004-12-14,PLN,25.1,25.4,25.0,25.2,77190.02
2004-12-15,PLN,25.1,25.3,25.0,25.1,43443.3
2004-12-16,PLN,25.1,25.5,25.0,25.4,67648.6
2004-12-17,PLN,25.3,26.0,25.2,26.0,128774.29
2004-12-20,PLN,26.0,27.0,26.0,26.9,161470.32
2004-12-21,PLN,26.7,27.6,26.5,27.4,124192.97
2004-12-22,PLN,27.5,28.5,26.7,27.4,140286.03
2004-12-23,PLN,27.1,27.6,26.5,26.5,63543.26
