date,currency,open,max,min,close,volume
2010-05-12,PLN,349.0,360.0,348.1,360.0,5101345.57
2010-05-13,PLN,358.0,361.9,354.0,357.0,1292711.17
2010-05-14,PLN,355.3,360.0,353.3,355.0,752735.44
2010-05-17,PLN,346.0,353.0,345.2,351.0,652052.14
2010-05-18,PLN,350.5,354.8,350.3,353.0,405841.12
2010-05-19,PLN,350.2,351.8,345.9,345.9,645166.28
2010-05-20,PLN,344.0,345.0,330.5,331.0,698096.79
2010-05-21,PLN,331.0,336.5,326.0,336.5,354807.24
2010-05-24,PLN,336.6,344.5,336.5,342.5,320239.98
2010-05-25,PLN,335.1,339.9,328.0,330.0,338374.65
2010-05-26,PLN,334.3,354.0,334.3,354.0,1786769.92
2010-05-27,PLN,348.0,352.4,347.0,350.2,167019.2
2010-05-28,PLN,350.4,351.4,346.0,350.0,115891.03
2010-05-31,PLN,346.0,350.0,343.0,350.0,52141.9
2010-06-01,PLN,345.4,349.8,340.5,348.6,173315.54
2010-06-02,PLN,346.9,351.0,346.1,349.5,158934.33
2010-06-04,PLN,348.6,351.0,342.0,342.0,153816.17
2010-06-07,PLN,336.0,342.5,336.0,340.0,122710.99
2010-06-08,PLN,340.2,344.0,339.0,339.0,831718.2
2010-06-09,PLN,339.7,347.9,338.0,347.0,151780.9
2010-06-10,PLN,344.3,351.3,344.3,350.0,227911.41
2010-06-11,PLN,349.4,350.5,347.4,349.0,276545.77
2010-06-14,PLN,349.0,353.5,347.0,351.7,116092.08
2010-06-15,PLN,350.0,352.9,348.3,352.5,188025.16
2010-06-16,PLN,352.7,353.5,346.2,352.4,231435.8
2010-06-17,PLN,349.5,354.0,349.0,353.6,210661.62
2010-06-18,PLN,352.6,358.8,352.6,357.5,795048.99
2010-06-21,PLN,357.0,364.8,357.0,364.8,249494.54
2010-06-22,PLN,360.5,363.3,358.5,360.0,127723.46
2010-06-23,PLN,359.0,362.0,358.2,359.0,148813.31
2010-06-24,PLN,359.0,361.0,355.0,355.0,120362.29
2010-06-25,PLN,356.0,359.4,355.1,355.1,154888.05
2010-06-28,PLN,355.6,356.7,350.5,352.0,49226.02
2010-06-29,PLN,352.0,352.8,349.0,350.0,162816.12
2010-06-30,PLN,350.0,354.0,349.5,350.0,72315.59
2010-07-01,PLN,350.0,357.7,348.2,356.0,160845.04
2010-07-02,PLN,352.8,360.0,352.8,354.0,122254.92
2010-07-05,PLN,354.2,355.2,352.0,352.1,17036.03
2010-07-06,PLN,352.8,358.6,352.6,358.6,33337.03
2010-07-07,PLN,354.1,359.0,353.5,358.0,147463.59
2010-07-08,PLN,360.0,364.8,356.0,358.9,305808.3
2010-07-09,PLN,359.1,361.4,356.4,361.0,30508.68
2010-07-12,PLN,360.0,372.0,358.4,372.0,187197.8
2010-07-13,PLN,370.3,378.0,370.3,378.0,197500.97
2010-07-14,PLN,378.0,379.8,370.0,370.0,87033.59
2010-07-15,PLN,370.0,374.0,369.0,370.0,29555.05
2010-07-16,PLN,368.0,375.5,368.0,368.0,43779.53
2010-07-19,PLN,367.6,375.1,367.0,373.7,196339.44
2010-07-20,PLN,373.0,373.7,369.0,370.1,79356.41
2010-07-21,PLN,371.0,376.8,371.0,374.5,140717.07
2010-07-22,PLN,374.0,382.0,373.1,382.0,188152.6
2010-07-23,PLN,380.0,382.5,376.6,377.0,105992.4
