date,currency,open,max,min,close,volume
2018-09-10,PLN,370.0,379.0,367.6,379.0,12521.46
2018-09-11,PLN,375.2,379.2,365.4,373.4,26461.0
2018-09-12,PLN,367.8,379.0,355.6,355.6,74761.43
2018-09-13,PLN,356.0,375.8,356.0,371.4,17134.36
2018-09-14,PLN,373.0,374.6,368.6,371.8,22591.21
2018-09-17,PLN,370.0,371.0,359.8,362.4,27111.19
2018-09-18,PLN,362.0,368.0,362.0,367.2,13018.33
2018-09-19,PLN,368.0,372.6,358.6,372.6,30243.78
2018-09-20,PLN,373.0,383.0,370.8,376.2,37131.27
2018-09-21,PLN,378.6,382.0,372.2,373.4,229572.39
2018-09-24,PLN,377.8,377.8,368.0,369.8,15286.34
2018-09-25,PLN,373.0,380.0,369.2,379.0,16800.76
2018-09-26,PLN,377.0,378.0,373.2,377.8,7695.63
2018-09-27,PLN,372.0,379.0,368.6,377.2,15607.92
2018-09-28,PLN,377.2,379.2,375.4,375.6,32471.17
2018-10-01,PLN,379.4,380.0,373.2,374.2,17251.3
2018-10-02,PLN,369.6,373.2,367.2,370.8,13837.72
2018-10-03,PLN,372.0,379.4,367.0,367.0,14268.28
2018-10-04,PLN,365.6,366.6,361.8,361.8,11281.14
2018-10-05,PLN,364.6,364.6,357.4,358.4,11498.9
2018-10-08,PLN,357.2,362.0,354.0,357.0,10527.11
2018-10-09,PLN,358.2,360.0,350.6,356.4,18893.21
2018-10-10,PLN,359.6,359.6,350.6,353.6,17093.94
2018-10-11,PLN,346.6,351.0,342.6,345.8,25217.94
2018-10-12,PLN,350.0,352.0,345.0,348.6,23758.25
2018-10-15,PLN,348.4,351.6,342.8,350.4,13467.43
2018-10-16,PLN,350.8,355.8,348.8,355.8,14447.16
2018-10-17,PLN,357.0,359.0,344.0,348.2,19003.26
2018-10-18,PLN,348.2,351.4,345.2,349.4,10181.23
2018-10-19,PLN,354.2,356.2,343.2,356.2,17105.9
2018-10-22,PLN,357.4,358.0,341.2,344.8,12564.86
2018-10-23,PLN,344.6,344.6,338.0,340.8,12612.97
2018-10-24,PLN,338.8,344.4,338.2,339.4,18067.16
2018-10-25,PLN,335.4,342.0,335.0,340.0,10489.16
2018-10-26,PLN,341.0,341.6,330.8,331.2,11880.95
2018-10-29,PLN,332.0,339.8,332.0,338.8,9594.41
2018-10-30,PLN,338.6,340.8,334.2,338.4,10687.11
2018-10-31,PLN,342.0,342.0,333.4,340.4,23702.0
2018-11-02,PLN,345.8,353.8,342.4,353.8,21003.32
2018-11-05,PLN,349.2,364.4,348.0,359.2,15731.88
2018-11-06,PLN,361.0,363.4,355.6,360.2,10677.73
2018-11-07,PLN,361.4,371.8,357.4,367.6,22557.81
2018-11-08,PLN,370.2,371.0,365.0,370.4,9435.6
2018-11-09,PLN,369.4,369.4,353.6,353.6,8281.84
2018-11-13,PLN,353.6,371.4,353.6,366.6,16033.4
2018-11-14,PLN,368.4,370.8,363.2,367.0,21495.61
2018-11-15,PLN,366.6,370.0,355.2,355.2,7857.35
2018-11-16,PLN,359.6,361.8,340.0,346.0,38037.27
2018-11-19,PLN,344.8,352.6,342.6,351.8,11701.75
2018-11-20,PLN,346.0,355.4,341.8,341.8,10030.62
2018-11-21,PLN,347.0,363.0,344.2,353.6,17060.84
2018-11-22,PLN,353.2,363.0,351.2,355.8,14416.36
2018-11-23,PLN,351.6,356.0,349.6,351.8,7911.19
2018-11-26,PLN,353.0,356.0,345.4,351.0,11055.28
2018-11-27,PLN,350.6,351.2,346.6,350.8,12533.94
2018-11-28,PLN,350.0,354.8,350.0,352.2,18360.84
2018-11-29,PLN,354.8,367.0,353.0,367.0,26451.86
