date,currency,open,max,min,close,volume
2010-06-30,PLN,5.13,5.14,5.01,5.05,908959.02
2010-07-01,PLN,5.01,5.07,4.96,5.05,192597.93
2010-07-02,PLN,5.06,5.09,5.05,5.06,53058.64
2010-07-05,PLN,5.06,5.08,5.05,5.05,43944.96
2010-07-06,PLN,5.06,5.09,5.06,5.07,40191.01
2010-07-07,PLN,5.06,5.07,5.04,5.05,53428.32
2010-07-08,PLN,5.05,5.1,5.05,5.1,86998.85
2010-07-09,PLN,5.1,5.13,5.1,5.13,88967.95
2010-07-12,PLN,5.13,5.2,5.12,5.19,244323.3
2010-07-13,PLN,5.2,5.22,5.12,5.12,625020.88
2010-07-14,PLN,5.13,5.14,5.07,5.09,72378.66
2010-07-15,PLN,5.09,5.09,5.07,5.08,78830.3
2010-07-16,PLN,5.09,5.12,5.05,5.07,83291.72
2010-07-19,PLN,5.06,5.08,5.04,5.07,25803.53
2010-07-20,PLN,5.06,5.06,5.04,5.04,23608.59
2010-07-21,PLN,5.04,5.07,5.03,5.06,37331.63
2010-07-22,PLN,5.05,5.13,5.05,5.12,187174.55
2010-07-23,PLN,5.12,5.13,5.1,5.13,53285.07
2010-07-26,PLN,5.11,5.11,5.06,5.08,29054.23
2010-07-27,PLN,5.1,5.12,5.08,5.12,53225.69
2010-07-28,PLN,5.09,5.1,5.08,5.09,24999.97
2010-07-29,PLN,5.08,5.12,5.08,5.12,17656.42
2010-07-30,PLN,5.1,5.13,5.08,5.12,30572.64
2010-08-02,PLN,5.1,5.13,5.09,5.12,21252.11
2010-08-03,PLN,5.11,5.13,5.1,5.11,23638.92
2010-08-04,PLN,5.1,5.11,5.08,5.11,29101.78
2010-08-05,PLN,5.09,5.12,5.09,5.1,43542.83
2010-08-06,PLN,5.08,5.12,5.08,5.11,26135.26
2010-08-09,PLN,5.09,5.12,5.08,5.11,58960.88
2010-08-10,PLN,5.08,5.12,5.08,5.11,53524.06
2010-08-11,PLN,5.09,5.1,5.08,5.1,13222.81
2010-08-12,PLN,5.08,5.13,5.07,5.13,21322.87
2010-08-13,PLN,5.1,5.1,5.08,5.1,12547.85
2010-08-16,PLN,5.08,5.15,5.07,5.15,43369.06
2010-08-17,PLN,5.14,5.19,5.1,5.14,67487.07
2010-08-18,PLN,5.12,5.15,5.1,5.15,19890.21
2010-08-19,PLN,5.12,5.14,5.11,5.13,10911.62
2010-08-20,PLN,5.12,5.15,5.12,5.14,14335.14
2010-08-23,PLN,5.14,5.38,5.13,5.33,212472.14
2010-08-24,PLN,5.34,5.38,5.29,5.32,66367.42
2010-08-25,PLN,5.3,5.32,5.3,5.32,24318.7
2010-08-26,PLN,5.31,5.32,5.23,5.29,33416.25
2010-08-27,PLN,5.24,5.31,5.24,5.3,28488.75
2010-08-30,PLN,5.3,5.37,5.3,5.36,42564.23
2010-08-31,PLN,5.33,5.37,5.27,5.37,33468.56
2010-09-01,PLN,5.33,5.36,5.33,5.35,47728.79
2010-09-02,PLN,5.35,5.45,5.35,5.45,116712.66
2010-09-03,PLN,5.44,5.55,5.42,5.52,63821.13
2010-09-06,PLN,5.52,5.68,5.5,5.61,82137.59
2010-09-07,PLN,5.63,5.67,5.52,5.54,24505.82
2010-09-08,PLN,5.52,5.65,5.52,5.65,31399.82
2010-09-09,PLN,5.65,5.65,5.6,5.6,33268.32
2010-09-10,PLN,5.6,5.66,5.56,5.56,19470.67
2010-09-13,PLN,5.6,5.73,5.6,5.72,49750.01
2010-09-14,PLN,5.74,5.9,5.73,5.9,108541.35
2010-09-15,PLN,5.95,6.14,5.94,6.04,209866.69
2010-09-16,PLN,6.06,6.17,6.06,6.14,103582.69
2010-09-17,PLN,6.15,6.17,6.08,6.17,108949.63
2010-09-20,PLN,6.19,6.2,6.13,6.15,52279.88
2010-09-21,PLN,6.15,6.16,6.01,6.05,50171.12
2010-09-22,PLN,6.04,6.05,5.9,5.96,99238.91
2010-09-23,PLN,5.94,5.94,5.81,5.83,52084.2
2010-09-24,PLN,5.8,6.08,5.8,6.08,59495.0
2010-09-27,PLN,6.1,6.12,6.05,6.07,53015.96
2010-09-28,PLN,6.06,6.11,5.96,6.09,42011.93
2010-09-29,PLN,6.09,6.13,6.01,6.09,20079.47
2010-09-30,PLN,6.05,6.11,6.02,6.11,44191.99
2010-10-01,PLN,6.1,6.11,6.06,6.1,29039.0
