name,date,open,high,low,close,volume
ALIOR,02-01-2015,77.92,78.0,76.58,77.05,68501
ALIOR,05-01-2015,76.76,79.8,75.43,75.43,73483
ALIOR,07-01-2015,75.63,79.5,75.63,76.3,126594
ALIOR,08-01-2015,77.23,79.51,77.01,79.5,317013
ALIOR,09-01-2015,79.5,80.25,78.95,79.27,442572
ALIOR,12-01-2015,79.1,81.12,78.08,81.12,126657
ALIOR,13-01-2015,81.5,82.5,79.11,81.5,183889
ALIOR,14-01-2015,81.0,81.5,79.52,81.31,121907
ALIOR,15-01-2015,81.48,81.48,77.03,78.0,241529
ALIOR,16-01-2015,77.1,79.0,76.52,78.04,140511
ALIOR,19-01-2015,77.23,79.8,77.23,79.0,119935
ALIOR,20-01-2015,79.0,80.9,78.25,78.3,140433
ALIOR,21-01-2015,79.26,79.95,78.79,79.79,62843
ALIOR,22-01-2015,80.24,84.0,79.63,84.0,194224
ALIOR,23-01-2015,83.5,87.48,82.26,84.77,559043
ALIOR,26-01-2015,84.77,85.0,83.0,85.0,171768
ALIOR,27-01-2015,85.0,86.4,84.62,86.29,198343
ALIOR,28-01-2015,86.8,86.98,84.01,84.73,96666
ALIOR,29-01-2015,84.5,85.84,83.1,84.0,92603
ALIOR,30-01-2015,84.98,86.0,83.65,85.9,82782
ALIOR,02-02-2015,85.05,85.79,82.36,84.5,112238
ALIOR,03-02-2015,84.45,85.2,83.43,84.39,46545
ALIOR,04-02-2015,84.11,84.67,82.03,83.05,69200
ALIOR,05-02-2015,83.0,83.0,82.0,82.12,93278
ALIOR,06-02-2015,82.38,83.98,82.16,82.8,72074
ALIOR,09-02-2015,83.06,85.28,81.66,83.9,165963
ALIOR,10-02-2015,84.62,86.28,84.0,84.65,130524
ALIOR,11-02-2015,84.42,84.92,83.0,83.56,69065
ALIOR,12-02-2015,83.7,83.74,82.5,82.5,73465
ALIOR,13-02-2015,82.5,83.5,81.31,83.39,54147
ALIOR,16-02-2015,83.96,84.98,83.2,84.07,27269
ALIOR,17-02-2015,83.5,84.89,83.3,84.89,21863
ALIOR,18-02-2015,84.8,84.9,83.23,84.9,22525
ALIOR,19-02-2015,83.88,85.34,83.41,85.34,38880
ALIOR,20-02-2015,85.45,85.45,84.5,84.79,11480
ALIOR,23-02-2015,85.13,85.39,83.5,84.4,24253
ALIOR,24-02-2015,83.81,84.01,81.62,82.49,98117
ALIOR,25-02-2015,82.74,83.3,81.86,83.1,47951
ALIOR,26-02-2015,83.0,83.49,82.03,82.9,30995
ALIOR,27-02-2015,84.16,84.7,82.79,82.79,95375
ALIOR,02-03-2015,82.95,83.39,81.05,81.9,68426
ALIOR,03-03-2015,82.0,82.95,80.0,82.44,74584
ALIOR,04-03-2015,82.4,82.4,80.45,81.11,76015
ALIOR,05-03-2015,81.11,81.55,79.65,81.55,85201
ALIOR,06-03-2015,81.55,81.9,80.62,80.62,41177
ALIOR,09-03-2015,80.03,80.99,79.65,79.65,36905
ALIOR,10-03-2015,79.65,79.7,77.56,77.56,104171
ALIOR,11-03-2015,77.66,78.62,77.15,78.62,109730
ALIOR,12-03-2015,79.79,81.53,78.0,81.26,104630
ALIOR,13-03-2015,80.9,81.77,79.51,79.55,381133
ALIOR,16-03-2015,79.55,80.19,79.35,79.5,32756
ALIOR,17-03-2015,80.0,81.5,79.66,81.5,82841
ALIOR,18-03-2015,81.5,81.5,80.0,80.0,69940
ALIOR,19-03-2015,80.0,82.98,80.0,82.4,122245
ALIOR,20-03-2015,82.37,83.19,81.21,83.19,379149
ALIOR,23-03-2015,83.2,83.53,82.0,83.5,43960
ALIOR,24-03-2015,83.0,83.29,81.67,82.46,47930
ALIOR,25-03-2015,82.2,83.74,81.6,83.74,52292
ALIOR,26-03-2015,82.73,83.93,82.54,83.0,277490
ALIOR,27-03-2015,83.5,84.0,83.45,84.0,62691
ALIOR,30-03-2015,84.2,85.0,84.0,84.95,276391
ALIOR,31-03-2015,84.95,85.0,82.0,83.3,107623
ALIOR,01-04-2015,82.5,85.4,82.5,85.4,162673
ALIOR,02-04-2015,85.1,85.98,84.0,84.98,68871
ALIOR,07-04-2015,84.0,85.7,83.96,85.0,385982
ALIOR,08-04-2015,85.3,85.51,84.55,85.4,35897
ALIOR,09-04-2015,85.0,85.5,84.03,85.0,520325
ALIOR,10-04-2015,85.0,85.15,84.01,84.99,416722
